Judul,Link,Kategori
Liverpool akan menghadapi Wolverhampton Wanderers di putaran ketiga Piala FA 2022/2023. Cody Gakpo berpeluang melakukan debut bersama The Reds.,https://index.sindonews.com/index/10,SPORTS
AS Roma akan menyambangi AC Milan untuk melakoni lanjutan Liga Italia 2022/2023. Alessandro Nesta menyoroti pertahanan I lupi.,https://index.sindonews.com/index/10,SPORTS
Atlet berkuda DKI Jakarta Claresta Amantha Kamsari siap membantu anak-anak berkebutuhan khusus melalui terapi yang menggunakan medium kuda.,https://index.sindonews.com/index/10,SPORTS
"Rektor Uhamka Jakarta, Prof Gunawan Suryoputro menginisiasi program Merdeka Belajar Tenaga Kependidikan Perguruan Tinggi Muhammadiyah dan Aisyiyah.",https://index.sindonews.com/index/144,EDUKASI
"Hasil Lazio versus Empoli berakhir imbang 2-2 pada laga lanjtuan Liga Italia 2022-2023 di Stadio Olimpico, Minggu (8/1/2023) malam WIB.",https://index.sindonews.com/index/10,SPORTS
"Pelatih Bintang Timur Surabaya (BTS), Jesus Rey Gonzales, mengaku tak puas dengan kepemimpinan wasit saat ditahan imbang Fafage Vamos FC pada laga lanjutan Liga Futsal Profesional 2022-2023.",https://index.sindonews.com/index/10,SPORTS
Tim Nasional Indonesia datang untuk menang melawan Vietnam pada leg kedua Piala AFF 2022.,https://index.sindonews.com/index/10,SPORTS
Leg pertama semifinal Piala AFF 2022 yang mempertemukan Indonesia dengan Vietnam berlangsung sangat menegangkan.  Selanjutnya tim Mewrah Putih akan melakini leg kedua.,https://index.sindonews.com/index/10,SPORTS
"Monster KO Brandun Lee brutal menghabisi musuhnya, Diego Luque, pada ronde 4 dalam pertarungan tambahan antara Gervonta Davis vs Hector Luis Garcia.",https://index.sindonews.com/index/10,SPORTS
Kolom komentar Instagram Shin Tae-yong (@shintaeyong777) disusupi penggemar Vietnam usai pelatih Timnas Indonesia memposting video berdurasi singkat terkait tekel horor yang dilakukan Doan Van Hau.,https://index.sindonews.com/index/10,SPORTS
"Paris Saint-Germain (PSG) mengkonfirmasi akan melakukan laga uji coba melawan pemain gabungan klub Arab Saudi, Al Nassr dan Al Hilal.",https://index.sindonews.com/index/10,SPORTS
"Shin Tae-yong menyampaikan permohonan maafnya kepada masyarakat Tanah Air. Sebab, Timnas Indonesia gagal ke final Piala AFF 2022 usai disingkirkan Vietnam.",https://index.sindonews.com/index/10,SPORTS
Gareth Bale memutuskan pensiun dari klub maupun sepak bola internasiona. Mantan kapten Timnas Wales itu gantung sepatu di usia 33 tahun.,https://index.sindonews.com/index/10,SPORTS
Marc Marquez terus menyiapkan diri menyambut MotoGP 2023.,https://index.sindonews.com/index/10,SPORTS
Roberto Martinez resmi ditunjuk sebagai juru taktik tim berjuluk Selecao das Quinas. Martinez menggantikan Fernando Santos yang gagal di Piala Dunia 2022.,https://index.sindonews.com/index/10,SPORTS
"Banyak pilihan yang dapat diambil oleh siswi lulusan SMA, MA, SMK, dan sederajat untuk melanjutkan pendidikan dan memulai karier yang diinginkan untuk masa depan.",https://index.sindonews.com/index/144,EDUKASI
Timnas Indonesia gagal melaju ke final Piala AFF 2022 setelah  kalah 0-2 dari Vietnam pada leg kedua. Ini membuat  skuad Garuda disorot netizen.,https://index.sindonews.com/index/10,SPORTS
Marc Marquez menilai Stefan Bradl merupakan sosok penguji coba yang tepat bagi Honda. Dia dinilai memenuhi kriteria yang dibutuhkan The Baby Alien di MotoGP.,https://index.sindonews.com/index/10,SPORTS
"Petenis putri Jepang Naomi Osaka menarik diri dari ajang Grand Slam perdana tahun ini, Australia Terbuka 2023.",https://index.sindonews.com/index/10,SPORTS
Hasil drawing Thailand Masters 2023 telah resmi dirilis pada Selasa (10/1/2023).,https://index.sindonews.com/index/10,SPORTS
Evan Dimas angkat bicara soal sosok AA LaNyalla Mahmud Mattalitti dalam dunia sepak bola Tanah Air.,https://index.sindonews.com/index/10,SPORTS
Toto Wolff buka suara terkait masa depan Lewis Hamilton.,https://index.sindonews.com/index/10,SPORTS
Presiden Federasi Sepak Bola Prancis (FFF) Noel Le Graet mundur dari jabatan di tengah sederet kontroversi.,https://index.sindonews.com/index/10,SPORTS
"Al-Nassr menyangkal Cristiano Ronaldo mendapatkan 175 juta atau sekitar Rp3,3 triliun lagi untuk mempromosikan Arab Saudi menjadi tuan rumah Piala Dunia 2030.",https://index.sindonews.com/index/10,SPORTS
"Jonatan Christie lega bisa mengalahkan Wang Tzu Wei dari Taiwan di babak 32 besar Malaysia Open 2023. Sebab, dia sempat tertinggal jauh sebelum melakukan comeback.",https://index.sindonews.com/index/10,SPORTS
Persatuan Sepak Bola Seluruh Indonesia (PSSI) dan PT Liga Indonesia Baru (LIB) belum memberikan kepastian terkait nasib kompetisi Liga 2.,https://index.sindonews.com/index/10,SPORTS
PSSI memutuskan untuk menghentikan Liga 2 2022/2023. Ini mendapat kritikan dari netizen yang menganggapnya sebagai kemunduran.,https://index.sindonews.com/index/10,SPORTS
"Regis Prograis mencoba menyatukan kelas ringan super 63,5 kg jika tak ada satupun penantang wajib yang bersedia maju melawan dirinya.",https://index.sindonews.com/index/10,SPORTS
"Pelajar putri dari delegasi Central Java Qualifiers (Jawa Tengah) tampil mendominasi pada babak penyisihan Energen Champion SAC Indonesia National Championship di Stadion Madya, Kamis (12/1/2023).",https://index.sindonews.com/index/10,SPORTS
Universitas Sanata Dharma (USD) Yogyakarta akan memberikan beasiswa untuk mahasiswa baru tahun akademik 2023/2024 melalui Program Beasiswa Cerdas Humanis.,https://index.sindonews.com/index/144,EDUKASI
"Jose Ramirez mengecam Gervonta Davis, Ryan Garcia, Devin Haney dan Teofimo Lopez banyak omong mengenai karier tinju mereka.",https://index.sindonews.com/index/10,SPORTS
Legendaris Timnas Belanda Marco Van Basten mengkritik langkah Manchester United mengikat Wout Weghorst.,https://index.sindonews.com/index/10,SPORTS
"Hamka Hamzah menyuarakan keputusan PSSI memberhentikan Liga 2 dan Liga 3. Hal itu disampaikannya pada akun media sosial Instagram pribadinya, Kamis (12/1/2023).",https://index.sindonews.com/index/10,SPORTS
Marc Marquez mengapresiasi ketulusan dan kejujuran Alberto Puig yang yang sudah banyak membantu tim Repsol Honda.,https://index.sindonews.com/index/10,SPORTS
"Jonatan Christie kecewa berat dikalahkan wakil Jepang, Kenta Nishimoto di babak 16 besar Malaysia Open 2023.",https://index.sindonews.com/index/10,SPORTS
Mantan juara dunia Gary Russell Jr. sangat menikmati waktunya di puncak kelas bulu sebelum menderita cedera bahu dalam perjalanan terakhirnya ke dalam ring.,https://index.sindonews.com/index/10,SPORTS
"Pemain Timnas Vietnam, Doan Van Hau, lembek saat timnya bentrok Thailand di leg pertama final Piala AFF 2022.",https://index.sindonews.com/index/10,SPORTS
"Brighton & Hove Albion tampil perkasa saat menjamu Liverpool di Stadion Falmer, Sabtu (14/1/2023) malam WIB. Pada laga lanjutan Liga Inggris 2022/2023, Si Burung Camar terbang tinggi berkat kemenangan 3-0.",https://index.sindonews.com/index/10,SPORTS
"Lionel Messi diinginkan dua klub Arab Saudi dalam transfer 306 juta atau Rp5,7 triliun per tahun yang akan membuatnya menyaingi Cristiano Ronaldo.",https://index.sindonews.com/index/10,SPORTS
"Pelatih Pendekar United, Alvaro Martinez memberikan pujian kepada pemainnya, terutama Bambang Bayu Saptaji usai mengalahkan Black Steel FC.",https://index.sindonews.com/index/10,SPORTS
Fajar Alfian/Rian Ardianto berhasil menembus final Malaysia Open 2023. Hasil positif itu diraih usai ganda putra Indonesia mengalahkan Kang Min Hyuk/Seo Seung Jae dengan dua game langsung 21-18 dan 21-17 di Axiata Arena,https://index.sindonews.com/index/10,SPORTS
Anthony Joshua yang comeback ke ring tinju akan menantang jagoan kelas berat Amerika Serikat Jermaine Franklin pada duel yang direncanakan 1 April mendatang.,https://index.sindonews.com/index/10,SPORTS
Ganda putra andalan Indonesia Fajar Alfian/Rian Ardianto termotivasi untuk terus berprestasi demi nusa bangsa.,https://index.sindonews.com/index/10,SPORTS
"Pelatih The Blues, Graham Potter,  tersenyum puas Chelsea akhirnya kembali meraih kemenangan.",https://index.sindonews.com/index/10,SPORTS
Newcastle United mengamankan tiga poin usai mengalahkan Fulham 1-0 dalam lanjutan Liga Primer Inggris 2022/2023.,https://index.sindonews.com/index/10,SPORTS
Pukulan Andy Ruiz Jr yang dikenal cepat dan mematikan dianggap Malik Scott bukan ancaman bagi mantan juara kelas berat WBC Deontay Wilder.,https://index.sindonews.com/index/10,SPORTS
Kai Havertz menjadi penentu kemenangan Chelsea 1-0 atas  Crystal Palace.,https://index.sindonews.com/index/10,SPORTS
"Fabio Quartararo menyatakan enggan terlalu lama mengarungi MotoGP. Namun, pembalap Monster Energy Yamaha tidak menampik ingin dikenang sebagai legenda.",https://index.sindonews.com/index/10,SPORTS
Asosiasi Tinju Internasional (IBA) mengumumkan lebih dari 370 petinju internasional dari 53 negara berkompetisi di turnamen Golden Belt Series di Marrakesh.,https://index.sindonews.com/index/10,SPORTS
Lexyndo Hakim genap setahun mengemban tugas sebagai Ketua Umum Perbasi DKI Jakarta masa bakti 2022-2026.,https://index.sindonews.com/index/10,SPORTS
Mark Webber memprediksi Red Bull akan menjadi tim paling bahaya di awal musim F1 2023. Ini karena pengembangan mobil serta kualitas yang dimiliki Max Verstappen.,https://index.sindonews.com/index/10,SPORTS
"Presiden FIFA, Gianni Infantino menyerahkan langsung trofi juara Piala AFF 2022 kepada Timnas Thailand.",https://index.sindonews.com/index/10,SPORTS
Dandi Maulana tak ingin Persija Jakarta larut dalam euforia usai mengalahkan Bali United di  Liga 1 2022/2023. Dia ingin Macan Kemayoran fokus ke laga berikutnya.,https://index.sindonews.com/index/10,SPORTS
"Dosen Fakultas Psikologi Universitas Indonesia (FPsi UI), Efriyani Djuwita mengatakan, permainan lato-lato mampu menimbulkan rasa penasaran dan memacu diri untuk menguasainya.",https://index.sindonews.com/index/144,EDUKASI
"Winger andalan Brighton and Hove Albion, Leandro Trossard menjadi rebutan dua klub Liga Inggris, Arsenal dan Tottenham Hotspur.",https://index.sindonews.com/index/10,SPORTS
Lembaga pemeringkatan perguruan tinggi dunia Quacquarelli Symonds World University Rankings (QS WUR) 2023 kembali merilis daftar universitas terbaik dunia.,https://index.sindonews.com/index/144,EDUKASI
Pelatih Juergen Klopp membahas nasibnya bersama Liverpool yang sedang mengalami fase keterpurukan. Dia menegaskan tidak akan pergi jika tak ada yang perintah.,https://index.sindonews.com/index/10,SPORTS
Marcus Fernaldi Gideon/Kevin Sanjaya Sukamuljo memenangi perang saudara di babak pertama India Open 2023.,https://index.sindonews.com/index/10,SPORTS
Mantan bek Tottenham Hotspur Anton Walkes meninggal dunia pada Kamis (19/1/2023) pagi waktu Amerika Serikat.,https://index.sindonews.com/index/10,SPORTS
Pratama Arhan telah bergabung dengan skuad Tokyo Verdy. Bek Timnas Indonesia itu juga sudah memulai latihan jelang J-League 2 2023.,https://index.sindonews.com/index/10,SPORTS
"Dejan Ferdinansyah/Gloria Emanuelle Widjaja mneundukan jagoan Malaysia, Tan Kian Meng/Lai Pei Jing di babak 32 besar India Open 2023.",https://index.sindonews.com/index/10,SPORTS
Piala Dunia Basket atau FIBA World Cup 2023 akan digelar tahun ini di Indonesia. Panitia pelaksana (panpel) mengatakan event besar itu didesain bakal mirip NBA.,https://index.sindonews.com/index/10,SPORTS
Menjadi politisi dan pejabat publik mungkin menjadi impian banyak orang. Berkontribusi untuk negeri demi memajukan bangsa adalah cita-cita yang sangat luhur dan mulia.,https://index.sindonews.com/index/144,EDUKASI
Lionel Messi mengenang momen indah ketika Timnas Argentina menjuarai Piala Dunia 2022 tepat sebulan yang lalu,https://index.sindonews.com/index/10,SPORTS
Langkah Gregoria Mariska Tunjung terhenti di babak 16 besar India Open 2023.,https://index.sindonews.com/index/10,SPORTS
Bintang tenis Tunisia Ons Jabeur gagal melangkah lebih jauh di Australia Open 2023.,https://index.sindonews.com/index/10,SPORTS
"Bayern Muenchen merekrut kiper anyar Yann Sommer dari Borussia Monchengladbach, Kamis (19/1/2023).",https://index.sindonews.com/index/10,SPORTS
Anthony Sinisuka Ginting lolos ke babak perempat final India Open 2023.,https://index.sindonews.com/index/10,SPORTS
"Politeknik terbaik di Indonesia pastinya selalu menjadi incaran calon mahasiswa. Sebab, kualitas dan pemeringkatan politeknik tidak kalah dengan PTN  terbaik sekalipun.",https://index.sindonews.com/index/144,EDUKASI
"Mantan kapten Tim Nasional (Timnas) Indonesia, Agung Setyabudi sempat meminta Shin Tae-yong mundur. Itu menyusul kegagalannya di Piala AFF 2022.",https://index.sindonews.com/index/10,SPORTS
"Marcus Fernaldi Gideon/Kevin Sanjaya Sukamuljo terhenti di perempat final India Open 2023. Ganda putra Indonesia itu dikalahkan duo China, Liang Wei Keng/Wang Chang.",https://index.sindonews.com/index/10,SPORTS
Fajar Alfian/Muhammad Rian Ardianto melaju ke semifinal India Open 2023. Ganda putra Indonesia itu tanpa kesulitan bisa mengalahkan Mark Lamsfuss/Marvin Seidel.,https://index.sindonews.com/index/10,SPORTS
Arsenal resmi mengumumkan kedatangan Leandro Trossard. Penyerang asal Belgia berusia 28 tahun itu di boyong dari Brighton & Hove Albion.,https://index.sindonews.com/index/10,SPORTS
"Persib Bandung berhasil memangsa PSIS Semarang 3-1 pada laga ke-20 Liga 1 2022/2023. Namun, pelatih Luis Milla malah membongkar kelemahan pasukannya.",https://index.sindonews.com/index/10,SPORTS
Kapolri Jenderal Listyo Sigit Prabowo memastikan bahwa Polri terus berkomitmen untuk menindaklanjuti instruksi dari Presiden Jokowi dalam rangka melakukan perbaikan atau transformasi manajemen penyelenggaraan kompetisi sepak bola Indonesia.,https://index.sindonews.com/index/10,SPORTS
"Kabar duka menyelimuti dunia sepak bola Tanah Air. Benny Dollo, pelatih yang dikenal galak dan cerdik dalam menyusun strategi itu meninggal dunia, Rabu (1/2/2023).",https://index.sindonews.com/index/10,SPORTS
Francesco Bagnaia menyadari harus bekerja bersama dengan Enea Bastianini demi kebaikan Ducati Lenovo.,https://index.sindonews.com/index/10,SPORTS
Juventus akan meladeni Lazio saat perempat final Coppa Italia 2022/2023 di Allianz Stadium. Si Nyonya Tua akan menganggap laga ini layaknya final.,https://index.sindonews.com/index/10,SPORTS
Muhammad Rayhan Nur Fadillah/Rahmat Hidayat berhasil melaju ke babak perempat final Thailand Masters 2023.,https://index.sindonews.com/index/10,SPORTS
Mendiang Benny Dollo dikenal sebagai sosok yang tegas dan sangat cinta dengan pekerjaannya di dunia sepak bola Tanah Air.,https://index.sindonews.com/index/10,SPORTS
Lionel Messi membahas soal peluangnya tampil di Piala Dunia 2026 bersama Argentina. La Pulga mengaku tidak menutup kemungkinan untuk bermain.,https://index.sindonews.com/index/10,SPORTS
"Pelatih Bali United, Stefano Cugurra menyambut positif pulangnya Egy Maulana Vikri dan Witan Sulaiman ke Indonesia.",https://index.sindonews.com/index/10,SPORTS
Rekaman video dari helikopter menunjukkan pesepeda berusia 24 tahun itu mencoba bertahan untuk hidup saat ia terlempar ke samping jembatan ketika terjadi kecelakaan massal tersebut.,https://index.sindonews.com/index/10,SPORTS
"Pelatih Timnas Indonesia U-20 Shin Tae-yong tersinggung tak mendapat laporan dua pemainnya, Marselino Ferdinan dan Ronaldo Kwateh, bermain di Eropa.",https://index.sindonews.com/index/10,SPORTS
Raphael Varane mengungkapkan alasannya pensiun dari Timnas Prancis.,https://index.sindonews.com/index/10,SPORTS
"Begitu enak kehidupan bek Manchester United, Phil Jones. Meski menjadi pengangguran alias tidak pernah mendapat menit bermain, Jones mendapat gaji besar per pekan.",https://index.sindonews.com/index/10,SPORTS
Alex Rins terpacu memori indah kejayaan Honda di masa lalu.,https://index.sindonews.com/index/10,SPORTS
Leo Rolly Carnando/Daniel Marthin menjadi yang terbaik Thailand Masters 2023.,https://index.sindonews.com/index/10,SPORTS
Persib Bandung memuncaki klasemen Liga 1 2022/2023 usai mengalahkan PSS Sleman.,https://index.sindonews.com/index/10,SPORTS
Fabio Di Giannantonio (Diggia) dan Alex Marquez (Alex) tiba di Jakarta pada Minggu (5/2/2023).,https://index.sindonews.com/index/10,SPORTS
AS Roma bangkit dari dua kekalahan beruntun setelah mengalahkan Empoli dengan skor 2-0.,https://index.sindonews.com/index/10,SPORTS
Calon Ketua Umum PSSI periode 2023-2027 AA LaNyalla Mahmud Mattalitti akan membeberkan visi misi membangun sepak bola nasional kepada seluruh Asprov PSSI se-Indonesia.,https://index.sindonews.com/index/10,SPORTS
"Pembalap LCR Honda, Alex Rins mengaku masih terlalu cepat untuk membahas target kemenangan bersama tim barunya.",https://index.sindonews.com/index/10,SPORTS
UGM berkomitmen kuat untuk terus mendukung dan memfasilitasi para mahasiswanya dalam pengembangan kreativitas dan nalar intelektual untuk berpartisipasi dalam berbagai kompetisi.,https://index.sindonews.com/index/144,EDUKASI
Inter Milan mengalahkan AC Milan saat Derby Milan pada lanjutan Liga Italia 2022/2023. Pelatih Simone Inzaghi menyebut I Nerazzurri tampil sempurna.,https://index.sindonews.com/index/10,SPORTS
Calon mahasiswa yang ingin mendapatkan beasiswa luar negeri tapi kemampuan bahasa Inggrisnya standar jangan khawatir. Ada sejumlah beasiswa luar negeri tanpa harus menunjukkan sertifikat TOEFL.,https://index.sindonews.com/index/144,EDUKASI
"Manajer Red Bull KTM, Francesco Guidotti mengaku pasrah bakal kehilangan Izan Guevara dan Pedro Acosta di Moto2 2023.",https://index.sindonews.com/index/10,SPORTS
Callum Smith vs Pawel Stepien dijadwalkan berduel pada 11 Maret di M&S Bank Arena untuk memuluskan ambisi melawan juara dunia kelas berat ringan Artur Beterbiev.,https://index.sindonews.com/index/10,SPORTS
Ahmed Eyup Turkaslan mengalami nasib malang akibat gempa bumi Turki. Kiper dari klub Yeni Malatyaspor itu dikabarkan meninggal karena terjebak reruntuhan.,https://index.sindonews.com/index/10,SPORTS
Debut pelatih baru Arema FC I Putu Gede Santoso berjalan mulus dalam lanjutan Liga 1 2022-2023,https://index.sindonews.com/index/10,SPORTS
"Education Technology (EdTech) Sentra Vidya Utama (SEVIMA) sedang mencari 100 talenta berbakat di sektor teknologi, untuk ikut melakukan revolusi di dunia pendidikan.",https://index.sindonews.com/index/144,EDUKASI
Daftar calon pemain terbaik Piala Dunia Antarklub 2022 akan dibahas di artikel ini. Salah satunya pernah bobol gawang Argentina di Piala Dunia 2022 Qatar.,https://index.sindonews.com/index/10,SPORTS
Manchester City semakin terpojok. Itulah gambaran yang terjadi ketika The Citizens didakwa Premier League selaku operator Liga Inggris dengan 101 dugaan pelanggaran aturan keuangan yang dimulai sejak 2009-2010 hingga 2017-2018.,https://index.sindonews.com/index/10,SPORTS
Mobil mewah yang dimiliki Manny Pacquiao menjadi salah satu bukti keberhasilannya mendapatkan banyak uang dari tinju.,https://index.sindonews.com/index/10,SPORTS
Juara bertahan Bali United menghadapi laga sulit kontra pemuncak klasemen musim ini Persib Bandung.,https://index.sindonews.com/index/10,SPORTS
Penyakit kanker merupakan salah satu penyakit yang paling mematikan di seluruh dunia termasuk di Indonesia. Hari Kanker Sedunia diperingati setiap tanggal 4 Februari.,https://index.sindonews.com/index/144,EDUKASI
Marc Marquez membantah bakal meninggalkan tim Repsol Honda di akhir musim MotoGP 2023. Pembalap berjuluk The Baby Alien mengaku impiannya adalah tetap bertahan di Honda dan memenangkan gelar.,https://index.sindonews.com/index/10,SPORTS
Pelatih Aidil Sharin Sahak menyebut duel Persikabo 1973 vs Madura United sangat krusial dalam lanjutan Liga 1.,https://index.sindonews.com/index/10,SPORTS
"Arema FC bakal menghadapi ujian berat dengan menghadapi Persija Jakarta pada laga pekan 24 Liga 1 2022-2023 Stadion Patriot Candrabhaga, Minggu (12/2/2023).",https://index.sindonews.com/index/10,SPORTS
"Promotor Jack Catterall, Ben Shalom mengaku sabar menunggu jadwal pertarungan ulang melawan Josh Taylor.",https://index.sindonews.com/index/10,SPORTS
"Pemain Timnas Indonesia, Saddil Ramdani, berhasil mencetak gol saat Sabah FC mencukur Geylang International FC di laga persahabatan antarklub.",https://index.sindonews.com/index/10,SPORTS
Floyd Mayweather Jr sepertinya tidak pernah kehilangan akal untuk membuat banyak orang memperhatikannya.,https://index.sindonews.com/index/10,SPORTS
7 jurus jitu untuk sepak bola Indonesia yang diusung AA LaNyalla Mahmud Mattalitti mendapat apresiasi.,https://index.sindonews.com/index/10,SPORTS
"Aroma balas dendam begitu terasa saat Napoli menjamu Cremonese pada laga lanjutan Liga Italia 2022-2023 di Stadio Diego Armando Maradona, Senin (13/2/2023).",https://index.sindonews.com/index/10,SPORTS
Manchester United berhasil meraih kemenangan dalam laga lanjutan Liga Inggris 2022/2023.,https://index.sindonews.com/index/10,SPORTS
Laga bertajuk Derby London yang mempertemukan West Ham United versus Chelsea tidak menghasilkan pemenang.,https://index.sindonews.com/index/10,SPORTS
Penyelesain akhir Tim Nasional (Timnas) Indonesia U-20 masih menjadi pekerjaan rumah Pelatih Shin Tae-yong.,https://index.sindonews.com/index/10,SPORTS
Inter Milan menghadapi laga sulit melawan Sampdoria pada gioranata ke-22 Liga Serie A Italia 2022/2023.,https://index.sindonews.com/index/10,SPORTS
Ketua Umum PB PB) Jerry Sambuaga mengapresiasi dukungan Menteri Pemuda dan Olahraga (Menpora) Zainudin Amali dalam memajukan olahraga boling.,https://index.sindonews.com/index/10,SPORTS
Persib Bandung akhirnya melepas dua pemainnya ke pemusatan latihan (TC) Timnas Indonesia U-20.,https://index.sindonews.com/index/10,SPORTS
Tottenham Hotspur akan menghadapi AC Milan saat leg pertama 16 besar Liga Champions 2022/2023. Antonio Conte mendesak The Lilywhites segera menemukan stabilitas.,https://index.sindonews.com/index/10,SPORTS
"Agum Gumelar menyebut visi-misi Calon Ketua Umum PSSI, AA LaNyalla Mahmud Mattalitti, menarik dan bagus.",https://index.sindonews.com/index/10,SPORTS
"Pelatih Chelsea Graham Potter menyatakan bahwa Raheem Sterling telah kembali berlatih, namun belum akan siap untuk bermain pada babak 16 besar Liga Champions.",https://index.sindonews.com/index/10,SPORTS
Inilah 5 petinju kelas berat versi Tyson Fury dengan menempatkan Deontay Wilder di atas Anthony Joshua setelah pertarungan besar resmi diumumkan.,https://index.sindonews.com/index/10,SPORTS
"Kongres Luar Biasa (KLB) PSSI akan segera digelar. KLB ini bertujuan sebagai ajang pemilihan Ketua Umum, dimana salah satu calonya adalah Erick Thohir.",https://index.sindonews.com/index/10,SPORTS
"Yunus Nusi buka suara setelah memutuskan mundur dari Wakil Ketua Umum PSSI terpilih di Kongres Luar Biasa (KLB), Kamis (16/2/2023).",https://index.sindonews.com/index/10,SPORTS
"Erick Thohir menyampaikan pidato pertamanya setelah resmi menjadi Ketua Umum (Ketum) PSSI periode 2023-2027, Kamis (16/2/2023).",https://index.sindonews.com/index/10,SPORTS
