Ulasan,Tanggal_Ulasan,Label,lokasi,tokens,normalisasi,stopword
kondisi pantai agak kurang terawat,2 tahun lalu,Negatif,pantai lombang,"['kondisi', 'pantai', 'agak', 'kurang', 'terawat']","['kondisi', 'pantai', 'agak', 'kurang', 'terawat']","['kondisi', 'pantai', 'agak', 'kurang', 'terawat']"
jalan menuju tempat wisata bagus mulus bisa di lalui dg lancar pantainya juga terawat bersih kalo mw main pasir buat anak juga cocok harga tiket masuk pas weekend org kena rb wc nya juga bersih pantainya cocok buat piknik soalnya banyak pohon pinusnya jd adem,4 tahun lalu,Positif,pantai lombang,"['jalan', 'menuju', 'tempat', 'wisata', 'bagus', 'mulus', 'bisa', 'di', 'lalui', 'dg', 'lancar', 'pantainya', 'juga', 'terawat', 'bersih', 'kalo', 'mw', 'main', 'pasir', 'buat', 'anak', 'juga', 'cocok', 'harga', 'tiket', 'masuk', 'pas', 'weekend', 'org', 'kena', 'rb', 'wc', 'nya', 'juga', 'bersih', 'pantainya', 'cocok', 'buat', 'piknik', 'soalnya', 'banyak', 'pohon', 'pinusnya', 'jd', 'adem']","['jalan', 'menuju', 'tempat', 'wisata', 'bagus', 'mulus', 'bisa', 'di', 'lalui', 'dengan', 'lancar', 'pantainya', 'juga', 'terawat', 'bersih', 'kalau', 'mau', 'main', 'pasir', 'buat', 'anak', 'juga', 'cocok', 'harga', 'tiket', 'masuk', 'pas', 'weekend', 'orang', 'kena', 'rb', 'wc', 'nya', 'juga', 'bersih', 'pantainya', 'cocok', 'buat', 'piknik', 'soalnya', 'banyak', 'pohon', 'pinusnya', 'jadi', 'adem']","['jalan', 'menuju', 'tempat', 'wisata', 'bagus', 'mulus', 'bisa', 'di', 'lalui', 'dengan', 'lancar', 'pantainya', 'juga', 'terawat', 'bersih', 'kalau', 'mau', 'main', 'pasir', 'buat', 'anak', 'juga', 'cocok', 'harga', 'tiket', 'masuk', 'pas', 'weekend', 'orang', 'kena', 'rb', 'wc', 'nya', 'juga', 'bersih', 'pantainya', 'cocok', 'buat', 'piknik', 'soalnya', 'banyak', 'pohon', 'pinusnya', 'jadi', 'adem']"
pantai lokasinya di ujung timur pulang madura tepatnya di kabupaten sumenep dari kota sumenep sekitar km ke arah timur daya pantainya sangat indah dengan hamparan pasir putihnya yang merupaka,4 tahun lalu,Positif,pantai lombang,"['pantai', 'lokasinya', 'di', 'ujung', 'timur', 'pulang', 'madura', 'tepatnya', 'di', 'kabupaten', 'sumenep', 'dari', 'kota', 'sumenep', 'sekitar', 'km', 'ke', 'arah', 'timur', 'daya', 'pantainya', 'sangat', 'indah', 'dengan', 'hamparan', 'pasir', 'putihnya', 'yang', 'merupaka']","['pantai', 'lokasinya', 'di', 'ujung', 'timur', 'pulang', 'madura', 'tepatnya', 'di', 'kabupaten', 'sumenep', 'dari', 'kota', 'sumenep', 'sekitar', 'kamu', 'ke', 'arah', 'timur', 'daya', 'pantainya', 'sangat', 'indah', 'dengan', 'hamparan', 'pasir', 'putihnya', 'yang', 'merupaka']","['pantai', 'lokasinya', 'di', 'ujung', 'timur', 'pulang', 'madura', 'tepatnya', 'di', 'kabupaten', 'sumenep', 'dari', 'kota', 'sumenep', 'sekitar', 'kamu', 'ke', 'arah', 'timur', 'daya', 'pantainya', 'sangat', 'indah', 'dengan', 'hamparan', 'pasir', 'putihnya', 'yang', 'merupaka']"
tempat bagus untuk foto ada kuda makanan pinggir pantai,6 bulan lalu,Positif,pantai lombang,"['tempat', 'bagus', 'untuk', 'foto', 'ada', 'kuda', 'makanan', 'pinggir', 'pantai']","['tempat', 'bagus', 'untuk', 'foto', 'ada', 'kuda', 'makanan', 'pinggir', 'pantai']","['tempat', 'bagus', 'untuk', 'foto', 'ada', 'kuda', 'makanan', 'pinggir', 'pantai']"
dari kota perjalanan sekitar jam an jalan menuju kesana sudah bagus tidak seperti dulu banyak lubangpantai luas bersih dan banyak fasilitas umum,2 tahun lalu,Positif,pantai lombang,"['dari', 'kota', 'perjalanan', 'sekitar', 'jam', 'an', 'jalan', 'menuju', 'kesana', 'sudah', 'bagus', 'tidak', 'seperti', 'dulu', 'banyak', 'lubangpantai', 'luas', 'bersih', 'dan', 'banyak', 'fasilitas', 'umum']","['dari', 'kota', 'perjalanan', 'sekitar', 'jam', 'an', 'jalan', 'menuju', 'kesana', 'sudah', 'bagus', 'tidak', 'seperti', 'dulu', 'banyak', 'lubangpantai', 'luas', 'bersih', 'dan', 'banyak', 'fasilitas', 'umum']","['dari', 'kota', 'perjalanan', 'sekitar', 'jam', 'an', 'jalan', 'menuju', 'kesana', 'sudah', 'bagus', 'tidak', 'seperti', 'dulu', 'banyak', 'lubangpantai', 'luas', 'bersih', 'dan', 'banyak', 'fasilitas', 'umum']"
pantai lombang cukup terkenal sebagai salah satu destinasi wisata di pulau madura hamparan pasir pantainya luas dan lumayan bersih banyak pohon cemara di sekeliling pantai,4 tahun lalu,Positif,pantai lombang,"['pantai', 'lombang', 'cukup', 'terkenal', 'sebagai', 'salah', 'satu', 'destinasi', 'wisata', 'di', 'pulau', 'madura', 'hamparan', 'pasir', 'pantainya', 'luas', 'dan', 'lumayan', 'bersih', 'banyak', 'pohon', 'cemara', 'di', 'sekeliling', 'pantai']","['pantai', 'lombang', 'cukup', 'terkenal', 'sebagai', 'salah', 'satu', 'destinasi', 'wisata', 'di', 'pulau', 'madura', 'hamparan', 'pasir', 'pantainya', 'luas', 'dan', 'lumayan', 'bersih', 'banyak', 'pohon', 'cemara', 'di', 'sekeliling', 'pantai']","['pantai', 'lombang', 'cukup', 'terkenal', 'sebagai', 'salah', 'satu', 'destinasi', 'wisata', 'di', 'pulau', 'madura', 'hamparan', 'pasir', 'pantainya', 'luas', 'dan', 'lumayan', 'bersih', 'banyak', 'pohon', 'cemara', 'di', 'sekeliling', 'pantai']"
ada hutan cemara udang bikin sejuk dan rindang sehingga bisa tidak kepanasan saat matahari terikteriknya siang hari,2 tahun lalu,Positif,pantai lombang,"['ada', 'hutan', 'cemara', 'udang', 'bikin', 'sejuk', 'dan', 'rindang', 'sehingga', 'bisa', 'tidak', 'kepanasan', 'saat', 'matahari', 'terikteriknya', 'siang', 'hari']","['ada', 'hutan', 'cemara', 'udang', 'bikin', 'sejuk', 'dan', 'rindang', 'sehingga', 'bisa', 'tidak', 'kepanasan', 'saat', 'matahari', 'terikteriknya', 'siang', 'hari']","['ada', 'hutan', 'cemara', 'udang', 'bikin', 'sejuk', 'dan', 'rindang', 'sehingga', 'bisa', 'tidak', 'kepanasan', 'saat', 'matahari', 'terikteriknya', 'siang', 'hari']"
fasilitas penunjangnya kurang terawat seperti jalan rusak kamar mandi tidak terawat dan musholla tempat wudhu airnya mati,4 tahun lalu,Negatif,pantai lombang,"['fasilitas', 'penunjangnya', 'kurang', 'terawat', 'seperti', 'jalan', 'rusak', 'kamar', 'mandi', 'tidak', 'terawat', 'dan', 'musholla', 'tempat', 'wudhu', 'airnya', 'mati']","['fasilitas', 'penunjangnya', 'kurang', 'terawat', 'seperti', 'jalan', 'rusak', 'kamar', 'mandi', 'tidak', 'terawat', 'dan', 'musholla', 'tempat', 'wudhu', 'airnya', 'mati']","['fasilitas', 'penunjangnya', 'kurang', 'terawat', 'seperti', 'jalan', 'rusak', 'kamar', 'mandi', 'tidak', 'terawat', 'dan', 'musholla', 'tempat', 'wudhu', 'airnya', 'mati']"
ombaknya kecil tdk bisa buat surfing,4 tahun lalu,Negatif,pantai lombang,"['ombaknya', 'kecil', 'tdk', 'bisa', 'buat', 'surfing']","['ombaknya', 'kecil', 'tidak', 'bisa', 'buat', 'surfing']","['ombaknya', 'kecil', 'tidak', 'bisa', 'buat', 'surfing']"
pantainya bersih dengan ombak cenderung tenang disarankan untuk datang saat low season untuk menghindari kepadatan pengunjung di sini banyak pohon cemara dan bisa sewa kuda juga untuk jalan jalan di pinggir pantai ada kedaikedai penjual,3 tahun lalu,Positif,pantai lombang,"['pantainya', 'bersih', 'dengan', 'ombak', 'cenderung', 'tenang', 'disarankan', 'untuk', 'datang', 'saat', 'low', 'season', 'untuk', 'menghindari', 'kepadatan', 'pengunjung', 'di', 'sini', 'banyak', 'pohon', 'cemara', 'dan', 'bisa', 'sewa', 'kuda', 'juga', 'untuk', 'jalan', 'jalan', 'di', 'pinggir', 'pantai', 'ada', 'kedaikedai', 'penjual']","['pantainya', 'bersih', 'dengan', 'ombak', 'cenderung', 'tenang', 'disarankan', 'untuk', 'datang', 'saat', 'kalau', 'season', 'untuk', 'menghindari', 'kepadatan', 'pengunjung', 'di', 'sini', 'banyak', 'pohon', 'cemara', 'dan', 'bisa', 'sewa', 'kuda', 'juga', 'untuk', 'jalan', 'jalan', 'di', 'pinggir', 'pantai', 'ada', 'kedaikedai', 'penjual']","['pantainya', 'bersih', 'dengan', 'ombak', 'cenderung', 'tenang', 'disarankan', 'untuk', 'datang', 'saat', 'kalau', 'season', 'untuk', 'menghindari', 'kepadatan', 'pengunjung', 'di', 'sini', 'banyak', 'pohon', 'cemara', 'dan', 'bisa', 'sewa', 'kuda', 'juga', 'untuk', 'jalan', 'jalan', 'di', 'pinggir', 'pantai', 'ada', 'kedaikedai', 'penjual']"
sayang jalan menuju lokasi banyak yang rusak banyak sampah juga berserakan kayak kurang terawat gitu semoga ke depannya pihak yang mengelola bisa memperbaikinya bisa jadi salah opsi tempat wisata di sumenep,4 tahun lalu,Negatif,pantai lombang,"['sayang', 'jalan', 'menuju', 'lokasi', 'banyak', 'yang', 'rusak', 'banyak', 'sampah', 'juga', 'berserakan', 'kayak', 'kurang', 'terawat', 'gitu', 'semoga', 'ke', 'depannya', 'pihak', 'yang', 'mengelola', 'bisa', 'memperbaikinya', 'bisa', 'jadi', 'salah', 'opsi', 'tempat', 'wisata', 'di', 'sumenep']","['sayang', 'jalan', 'menuju', 'lokasi', 'banyak', 'yang', 'rusak', 'banyak', 'sampah', 'juga', 'berserakan', 'kayak', 'kurang', 'terawat', 'begitu', 'semoga', 'ke', 'depannya', 'pihak', 'yang', 'mengelola', 'bisa', 'memperbaikinya', 'bisa', 'jadi', 'salah', 'opsi', 'tempat', 'wisata', 'di', 'sumenep']","['sayang', 'jalan', 'menuju', 'lokasi', 'banyak', 'yang', 'rusak', 'banyak', 'sampah', 'juga', 'berserakan', 'kayak', 'kurang', 'terawat', 'begitu', 'semoga', 'ke', 'depannya', 'pihak', 'yang', 'mengelola', 'bisa', 'memperbaikinya', 'bisa', 'jadi', 'salah', 'opsi', 'tempat', 'wisata', 'di', 'sumenep']"
pantainya kurang terawat dan kurangnya fasilitas umum,2 tahun lalu,Negatif,pantai lombang,"['pantainya', 'kurang', 'terawat', 'dan', 'kurangnya', 'fasilitas', 'umum']","['pantainya', 'kurang', 'terawat', 'dan', 'kurangnya', 'fasilitas', 'umum']","['pantainya', 'kurang', 'terawat', 'dan', 'kurangnya', 'fasilitas', 'umum']"
suasana laut tenang dengan hamparan pasir putih serta hijaunya pepohonan cemara udang aman buat anak mandi,setahun lalu,Positif,pantai lombang,"['suasana', 'laut', 'tenang', 'dengan', 'hamparan', 'pasir', 'putih', 'serta', 'hijaunya', 'pepohonan', 'cemara', 'udang', 'aman', 'buat', 'anak', 'mandi']","['suasana', 'laut', 'tenang', 'dengan', 'hamparan', 'pasir', 'putih', 'serta', 'hijaunya', 'pepohonan', 'cemara', 'udang', 'aman', 'buat', 'anak', 'mandi']","['suasana', 'laut', 'tenang', 'dengan', 'hamparan', 'pasir', 'putih', 'serta', 'hijaunya', 'pepohonan', 'cemara', 'udang', 'aman', 'buat', 'anak', 'mandi']"
pantai yang indah tempat rekreasi bagi warga kota sumenep dan sekitarnya pantainya cukup bersih bisa dijelajahi naik kuda banyak pohon cemara udang ada dijual bonsai cemara udang yang indah untuk dibawa pulang,4 tahun lalu,Positif,pantai lombang,"['pantai', 'yang', 'indah', 'tempat', 'rekreasi', 'bagi', 'warga', 'kota', 'sumenep', 'dan', 'sekitarnya', 'pantainya', 'cukup', 'bersih', 'bisa', 'dijelajahi', 'naik', 'kuda', 'banyak', 'pohon', 'cemara', 'udang', 'ada', 'dijual', 'bonsai', 'cemara', 'udang', 'yang', 'indah', 'untuk', 'dibawa', 'pulang']","['pantai', 'yang', 'indah', 'tempat', 'rekreasi', 'bagi', 'warga', 'kota', 'sumenep', 'dan', 'sekitarnya', 'pantainya', 'cukup', 'bersih', 'bisa', 'dijelajahi', 'naik', 'kuda', 'banyak', 'pohon', 'cemara', 'udang', 'ada', 'dijual', 'bonsai', 'cemara', 'udang', 'yang', 'indah', 'untuk', 'dibawa', 'pulang']","['pantai', 'yang', 'indah', 'tempat', 'rekreasi', 'bagi', 'warga', 'kota', 'sumenep', 'dan', 'sekitarnya', 'pantainya', 'cukup', 'bersih', 'bisa', 'dijelajahi', 'naik', 'kuda', 'banyak', 'pohon', 'cemara', 'udang', 'ada', 'dijual', 'bonsai', 'cemara', 'udang', 'yang', 'indah', 'untuk', 'dibawa', 'pulang']"
pantai yg dari dulu sudah ada setelah pantai slopeng pantai yg asri sejuk nyaman hamparan pasir putih yg mempesona dgn suara kicauan burung angin laut yg semilir ombak yg menarik pohon cemara udang yg sangat indah,2 tahun lalu,Positif,pantai lombang,"['pantai', 'yg', 'dari', 'dulu', 'sudah', 'ada', 'setelah', 'pantai', 'slopeng', 'pantai', 'yg', 'asri', 'sejuk', 'nyaman', 'hamparan', 'pasir', 'putih', 'yg', 'mempesona', 'dgn', 'suara', 'kicauan', 'burung', 'angin', 'laut', 'yg', 'semilir', 'ombak', 'yg', 'menarik', 'pohon', 'cemara', 'udang', 'yg', 'sangat', 'indah']","['pantai', 'yang', 'dari', 'dulu', 'sudah', 'ada', 'setelah', 'pantai', 'slopeng', 'pantai', 'yang', 'asri', 'sejuk', 'nyaman', 'hamparan', 'pasir', 'putih', 'yang', 'mempesona', 'dengan', 'suara', 'kicauan', 'burung', 'angin', 'laut', 'yang', 'semilir', 'ombak', 'yang', 'menarik', 'pohon', 'cemara', 'udang', 'yang', 'sangat', 'indah']","['pantai', 'yang', 'dari', 'dulu', 'sudah', 'ada', 'setelah', 'pantai', 'slopeng', 'pantai', 'yang', 'asri', 'sejuk', 'nyaman', 'hamparan', 'pasir', 'putih', 'yang', 'mempesona', 'dengan', 'suara', 'kicauan', 'burung', 'angin', 'laut', 'yang', 'semilir', 'ombak', 'yang', 'menarik', 'pohon', 'cemara', 'udang', 'yang', 'sangat', 'indah']"
tempat bagus dan lumayan bersih air juga bersih tapi parkiran agak jauh,setahun lalu,Positif,pantai lombang,"['tempat', 'bagus', 'dan', 'lumayan', 'bersih', 'air', 'juga', 'bersih', 'tapi', 'parkiran', 'agak', 'jauh']","['tempat', 'bagus', 'dan', 'lumayan', 'bersih', 'air', 'juga', 'bersih', 'tapi', 'parkiran', 'agak', 'jauh']","['tempat', 'bagus', 'dan', 'lumayan', 'bersih', 'air', 'juga', 'bersih', 'tapi', 'parkiran', 'agak', 'jauh']"
akses jalan menuju pantai rusakk dan kurag memadai semapt kesasar wktu pkek google maps kwkwk,setahun lalu,Negatif,pantai lombang,"['akses', 'jalan', 'menuju', 'pantai', 'rusakk', 'dan', 'kurag', 'memadai', 'semapt', 'kesasar', 'wktu', 'pkek', 'google', 'maps', 'kwkwk']","['akses', 'jalan', 'menuju', 'pantai', 'rusakk', 'dan', 'kurag', 'memadai', 'semapt', 'kesasar', 'wktu', 'pkek', 'google', 'maps', 'kwkwk']","['akses', 'jalan', 'menuju', 'pantai', 'rusakk', 'dan', 'kurag', 'memadai', 'semapt', 'kesasar', 'wktu', 'pkek', 'google', 'maps', 'kwkwk']"
pengunjung membuang sampah sembarangan tidak ada kebersihan dari pegawainya,3 tahun lalu,Negatif,pantai lombang,"['pengunjung', 'membuang', 'sampah', 'sembarangan', 'tidak', 'ada', 'kebersihan', 'dari', 'pegawainya']","['pengunjung', 'membuang', 'sampah', 'sembarangan', 'tidak', 'ada', 'kebersihan', 'dari', 'pegawainya']","['pengunjung', 'membuang', 'sampah', 'sembarangan', 'tidak', 'ada', 'kebersihan', 'dari', 'pegawainya']"
tempatnya agak kotor sedikit tp masih wajar mgkn krn masih agak sepi,2 tahun lalu,Negatif,pantai lombang,"['tempatnya', 'agak', 'kotor', 'sedikit', 'tp', 'masih', 'wajar', 'mgkn', 'krn', 'masih', 'agak', 'sepi']","['tempatnya', 'agak', 'kotor', 'sedikit', 'tapi', 'masih', 'wajar', 'mungkin', 'karena', 'masih', 'agak', 'sepi']","['tempatnya', 'agak', 'kotor', 'sedikit', 'tapi', 'masih', 'wajar', 'mungkin', 'karena', 'masih', 'agak', 'sepi']"
pantai dgn ombak yang bersahabat cocok untuk anak kecil dan hutan cemara udangnya lestari baget dijamin gk kepanasan deh,4 tahun lalu,Positif,pantai lombang,"['pantai', 'dgn', 'ombak', 'yang', 'bersahabat', 'cocok', 'untuk', 'anak', 'kecil', 'dan', 'hutan', 'cemara', 'udangnya', 'lestari', 'baget', 'dijamin', 'gk', 'kepanasan', 'deh']","['pantai', 'dengan', 'ombak', 'yang', 'bersahabat', 'cocok', 'untuk', 'anak', 'kecil', 'dan', 'hutan', 'cemara', 'udangnya', 'lestari', 'baget', 'dijamin', 'tidak', 'kepanasan', 'deh']","['pantai', 'dengan', 'ombak', 'yang', 'bersahabat', 'cocok', 'untuk', 'anak', 'kecil', 'dan', 'hutan', 'cemara', 'udangnya', 'lestari', 'baget', 'dijamin', 'tidak', 'kepanasan', 'deh']"
