Judul,Isi,Kategori
Caleg Partai Koalisi di Cilegon Ditarget Menangkan Prabowo-Gibran,"CILEGON– Para Calon Legislatif (Caleg) Partai Koalisi Capres-Cawapres, Prabowo-Gibran di Kota Cilegon punya beban tambahan, dimana para calon wakil rakyat wajib menyosialisasikan program-program Prabowo Subianto-Gibran Rakabuming.Hal itu ditegaskan Airin Rachmi Diany, Ketua Tim Kampanye Daerah (TKD) Prabowo-Gibran di Banten saat acara Silaturahmi Koalisi Indonesia Maju Kota Cilegon yang digelar di Hotel Aston Cilegon, Kamis (23/11/2023).“Ini juga tugas para Caleg partai koalisi dan pengurus struktur pengurus partai koalisi di tingkat Provinsi Banten, Kabupaten/kota dan Kecamatan hingga desa, pun para calon jika kemarin hanya menyosialisasikan program partai dan juga diri pribadi yang menjadi Caleg, tentunya ada instruksi tegas dari masing-masing partai berjenjang dari tingkat pusat, Caleg tidak hanya menyosialisasikan dirinya sendiri dan partainya tapi juga tentang pilihan presidennya, karena kita partai koalisi yang mengusung Prabowo-Gibran,” ujar Airin.Airin berharap Prabowo-Gibran bisa menang di Provinsi Banten, khususnya di Kota Cilegon.“Kita berharap mudah-mudahan dengan silaturahmi dan konsolidasi tadi pertemuan para partai pengusung ini bisa membawa semangat baru dan kita bekerja untuk meraih kemenangan, tentunya untuk pak Prabowo dan Gibran, khususnya di Kota Cilegon dan Provinsi Banten, dan juga tentunya teman-teman TKD di tempat yang lainnya juga melakukan hal-hal yang sama,” ucapnya.Ditanya target suara di Kota Cilegon, Airin enggan membeberkan target suara yang dibebankan kepada partai koalisi.“Target suara sebanyak-banyaknya, kita tentunya harus menang lagi, khususnya di Kota Cilegon, tapi kan gak bisa hanya berdiam diri, berpangku tangan, kita harus turun ke masyarakat yakinkan apa yang menjadi pilihan kita, sampaikan kepada masyarakat tentang programnya dan lainnya, apalagi kan orang sudah sangat mengenal Prabowo, mudah-mudahan itu juga bisa menjadikan pilihan bagi masyarakat,” katanya.(Man/Red)",Politik
Saksi Ahli Tegaskan Bank BRI Seharusnya Ganti Dana Nasabah Prioritas yang...,"SERANG– Sidang lanjutan pembobolan rekening nasabah prioritas BRI dengan kerugian Rp8,5 milliar kembali digelar. Jaksa menghadirkan saksi ahli Syakran Rudy selaku Kepala Sub Direktorat Pembinaan, Proses Bisnis, dan Hukum Direktorat Sistem Perbendaharaan Kantor Pusat Direktorat Jenderal Perbendaharaan Kementerian Keuangan (Kemenkeu) untuk menerangkan terkait kerugian negara, Rabu (13/9/2023)Dalam sidang yang dipimpin oleh Ketua Majelis Hakim, Dedy Ady Saputra, Saksi Ahli Rudy yang tidak dapat hadir langsung dalam persidangan memberikan kesaksiannya lewat aplikasi Zoom.Rudy menjelaskan status uang nasabah jika sudah masuk dalam rekening bank negara akan menjadi uang negara. Hal tersebut mengonfirmasi jika dana nasabah prioritas yang dislewengkan oleh terdakwa Nurhasan Kurniawan merupakan kerugian negara.“Terkait keuangan nasabah yang masuk keuangan negara, saat uang nasabah masuk sistem perbankan BRI maka tentunya uang tersebut didedikasikan untuk perbankan dan keuntungan (Bank Negara),” kata Rudy.Rudy kemudian menjelaskan terkait penggantian uang yang dilakukan oleh BRI kepada korban Ahmad Suharya melalui BRI Ahmad Yani sebesar Rp1,8 milliar dan BRI Tangerang Merdeka sebesar Rp6 millar. Menurutnya kerugian tersebut tetap menjadi tanggung jawab dari Bank Negara untuk melakukan penggantian.Sebab telah masuknya uang korban ke Bank Negara sudah dapat disebut sebagai uang negara. Oleh karena itu kerugian dari penyelewengan dana nasabah tersebut sudah dapat dikatakan sebagai kerugian negara.Jadinya, kata Rudy, pelanggaran pidana yang dilakukan terdakwa dengan pergantian dana oleh bank negara merupakan dua hal yang terpisah, sehingga bank tetap berkewajiban mengganti kerugian tersebut.“Kerugian negara meski sudah ada putusan pidana tidak mempengaruhi kewajiban mengganti (Dana nasabah yang hilang), kerugian negara itu mendahulukan pengembalian meski ada putusan pidana. Dalam konteks kerugian negara maka mengganti itu adalah utama itu di mana negara tetap (agar) dapat menjalankan usahanya sehingga di berbagai perusahaan negara maka selalu ada sejumlah uang untuk menutup kerugian namun dalam perpesktif keuangaan negara terjadi pengeluaran yang tidak dapat dipertanggung jawabkan tentu sudah ada kerugian negara di situ,” kata Rudy.Adapun nantinya setelah bank melakukan pengembalian uang kepada nasabah, terdakwa tetap diwajibkan mengembalikan kerugian negara tersebut kepada pihak BRI.“Penggantian kerugian negara itu tidak berkaitan dengan penyelesaian di bidang lainnya. Saat seseorang menyebabkan kerugian negaraa kemudian segera (Bank Negara) memulihkan maka mengganti tersebut merupakan proses pemulihan mengganti oleh perusahan kemudian digeser ke perorangan (Terdakwa). Tidak menggeser peristiwa putusan pidana, pun tidak mengganti kewajiban mengganti,” tutur RudyMenurut Rudy alasan perlunya bank mengganti terlebih dahulu uang nasabah yaitu agar bank negara dapat kembali menjalankan usahanya yaitu memberikan layanan publik.“Itu dimaknai agar negara bisa tetap menjalankan usahanya memberikan layanan publik, mencari keuntungan,” kata Rudy.Sebelumnya perbuatan terdakwa telah melakukan pembobolan rekening nasabah prioritas atas nama Ahmad Suharya sebesar Rp 8,5 Miliar. BRI kemudian melakukan penggantian uang nasabah tersebut dengan sistem piutang interen demi citra dan kepercayaan nasabah.Akibat aksinya yang membobol rekening nasabah prioritas saat masih menjadi karyawan BRI tersebut, terdakwa terancam Pasal 2 ayat 1 dan atau Pasal 3 ayat 2, dan atau Pasal 8 dan atau 9 Undang-undang Tindak Pidana.(Mg-Audindra/Red)",hukum
"Catat! Pada 9 Mei, Banten International Stadium Bakal Diresmikan","SERANG– Banten International Stadium (BIS) sudah siap diresmikan. Hal itu ditegaskan oleh Kepala Dinas Perumahan Rakyat dan Permukiman Provinsi Banten M Rahmat Rogianto kepada Wartawan di Gedung Plaza Aspirasi, KP3B Curug, Kota Serang (Kamis, 28/4/2022).“Pembangunan stadion merupakan salah satu visi dan misi dari Gubernur Banten Wahidin Halim dan Wakil Gubernur Banten Andika Hazrumy, agar Provinsi Banten bisa memiliki fasilitas olahraga stadion yang berstandar Internasional yang dapat dipergunakan untuk pertandingan skala Nasional, Asean bahkan Internasional,” ungkapnya.“Selain itu, dengan adanya stadion ini diharapkan dapat memotivasi serta meningkatkan prestasi atlet olahraga khususnya olahraga sepakbola di Provinsi Banten. Harapan lainnya dengan adanya Banten International Stadium ini bisa menjadi salah satu kebanggaan masyarakat Banten,” tambah Rahmat.Dikatakan, setelah proses pembangunan BIS ini selesai, diperlukan sosialisasi kepada masyarakat atau khalayak luas bahwa Provinsi Banten telah memiliki stadion sepakbola yang berstandar internasional. Stadion yang akan menjadi kebanggaan masyarakat Banten.“Rencananya, peresmian BIS akan dilakukan oleh Bapak Gubernur Wahidin Halim akan dimeriahkan dengan Bazzar, gowes atau fun bike, hiburan serta mengundang tokoh-tokoh Banten,” jelas Rahmat.Masih menurut Rahmat, anggaran pembangunan BIS yang berada di Kawasan Sport Center Curug, Kota Serang itu mencapai Rp 874,317 miliar dari APBD Provinsi Banten yang dilaksanakan secara multiyears.“Adopsi budaya Banten pada desain BIS terlihat pada fasade bermotif Batik Banten dan gerbang yang mencirikan budaya Banten,” jelas Rahmat.“Bangunan BIS terdiri dari 5 lantai dengan kapasitas tempat duduk penonton sebanyak 30.038 kursi. Fasilitas lainnya tribun VVIP, rumput lapangan zoysia matrela berstandar FIFA, lampu stadion standar AFC, ruangan press conference dan terdapat lintasan atletik berstandar IAAF,” tambahnya.(Red)",Sport
"Diperiksa Kasus Pemerasan, Ketua KPK Firli Bahuri Akui Bertemu Eks Mentan...","JAKARTA– Ketua Komisi Pemberantasan Korupsi (KPK) Firli Bahuri mengakui sempat bertemu mantan Menteri Pertanian (Mentan) Syahrul Yasin Limpo alias SYL di GOR Bulutangkis kawasan Mangga Besar, Jakarta Pusat.Pengakuan tersebut disampaikan Firli saat diperiksa terkait kasus pemerasan terhadap SYL di Bareskrim Polri, Kebayoran Baru, pada Selasa (24/10/2023).“Ya membenarkan (ada pertemuan dengan SYL),” kata Direktur Reserse Kriminal Khusus (Dirreskrimsus) Polda Metro Jaya Kombes Ade Safri Simanjuntak di Bareskrim Polri, Kebayoran Baru, Jakarta Selatan, Selasa (24/10/2023).Berdasarkan pengakuan Firli, kata Ade, pertemuan tersebut terjadi pada Maret 2022. Namun Ade tak mengungkap berapa kali pertemuan Firli dan SYL terjadi.“Terkait dengan materi penyidikan belum bisa kita ungkap, tapi yang jelas beliau mengakui pertemuan itu,” ungkap Ade.Diketahui, pemeriksaan terhadap Firli berlangsung selama hampir 10 jam sejak pukul 10.00 hingga 19.50 WIB. Firli diperiksa dengan kapasitas sebagai saksi.Ade menyampaikan total saksi yang telah diperiksa dalam perkara ini mencapai 54 orang.Nantinya penyidik akan melakukan konsolidasi untuk menentukan tindak lanjut dari hasil pemeriksaan terhadap Firli.“Apakah keterangan FB cukup atau masih dibutuhkan keterangan lain. Kalau masih dibutuhkan akan dilakukan lagi,” pungkasnya. (Red)",hukum
"Diduga Langgar Aturan Pemilu, Walikota Cilegon Dilaporkan ke Bawaslu","CILEGON– Walikota Cilegon, Helldy Agustian dilaporkan oleh sejumlah Organisasi Masyarakat (Ormas) ke Badan Pengawas Pemilu (Bawaslu) Kota Cilegon, Rabu 11 Oktober 2023.Laporan yang masih berupa lisan ke Bawaslu itu lantaran diduga Helldy Agustian sebagai pejabat negara melakukan pelanggaran Pemilu.“Sementara ini laporan kami masih sebatas lisan, laporannya akan kami lengkapi nanti dengan video dan lamporan tertulis, sementara ini kami silaturahmi memberikan info sementara, sekaligus apresiasi kepada Bawaslu Kota Cilegon,” ujar Maman Hilman, Ketua Lembaga Komunitas Pengawas Korupsi Kota Cilegon usai melakukan pertemuan di Kantor Bawaslu Kota Cilegon.Dia berharap Bawaslu agar melakukan pekerjaan yang profesional, adil dan transparan, dan tidak memihak ke salah satu pihak saja.“Kami minta juga agar oknum-oknum baik pejabat negara, ASN yang terlibat ini tentunya minta di proses, yang lebih spesifikasi ini kami juga menyampaikan laporan dugaan Walikota Cilegon yang menurut kami juga melakukan cawe-cawe, melakukan tindakan melawan hukum, kategori dalam hal rangka pesta demokrasi,” ucapnya.Dia mengaku mengapresiasi Bawaslu Kota Cilegon karena sudah memanggil Wakil Walikota Cilegon, Sanuji Pentamarta yang diduga melakukan melawan hukum.“Tentunya kami juga berharap kepada Bawaslu agar melakukan pekerjaan yang profesional adil, transparan, dan tidak memihak ke salah satu saja. Kami menduga ada ajakan sebagai pejabat negara ke arah salah satu partai. Konkretnya, tentu diduga salah satu ketua partai di Kota Cilegon, saya pikir hal yang wajar mengajak ke anggota, tetapi tentunya sebagai pejabat negara, untuk bisa membedakan saat dimana beliau saat mengajak dan saat dimana beliau bertugas,” paparnya.Dia menyatakan pihaknya bakal melengkapi laporan secepatnya atas pelanggaran Pemilu yang diduga dilakukan Walikota Cilegon, Helldy Agustian.“Laporannya akan kami lengkapi nanti dengan video dan laporan tertulis, sementara ini kami silaturahmi memberikan info sementara, sekaligus apresiasi kepada Bawaslu Kota Cilegon. Sementara ini kami hanya lisan saja,” imbuhnya.Sementara itu, Muhlis, Kepala Sekretariat Bawaslu Kota Cilegon menyatakan Bawaslu akan selalu netral dan profesional serta seimbang dalam melaksanakan tugas.“Kita tangkap dari teman-teman ormas, spiritnya untuk menjaga demokrasi secara baik, jadi tidak ada hal yang prinsip yang disampaikan,” ucapnya.Terkait adanya informasi yang disampaikan ormas terkait adanya dugaan pelanggaran Pemilu oleh Walikota Cilegon, dia menyatakan Bawaslu bakal menindaklanjuti.“Namun itu koridornya ada di pimpinan, tadi memang banyak informasi yang disampaikan, tentunya itu positif untuk terus mengawal demokratis di Cilegon secara baik. Terkait ada dugaan laporan Walikota Cilegon, saya kira itu bukan laporan yah, kalau laporan teman-teman ormas membawa dokumen laporannya yah, ini baru informasi saja, sepanjang informasi itu utuh pasti kita tindaklanjuti, kalau tadi kan laporannya belum ada. Kalau pelaporan pelanggaran kan tentu ada SOP-nya, tidak bisa hanya ucapan-ucapan,” terangnya.Terkait hal ini belum ada tanggapan dari Walikota Cilegon, Helldy Agustian. Wartawan masih mencoba mengkonfirmasi.(Man/Red)",Politik
"Puan Maharani Nyatakan Buka Pintu Komunikasi, PSI Segera Merapat ke PDIP","SERANG– Ketua Umum DPP Partai Solidaritas Indonesia (PSI), Giring Ganesha, mengaku pihaknya siap melakukan silaturami atau komunikasi dengan PDI Perjuangan (PDIP). Bahkan, Giring mengatakan, jika PSI siap sambangi PDIP.Pernyataan Giring tersebut menanggapi pernyataan Ketua DPP PDIP Puan Maharani yang menegaskan jika selama ini PDIP selalu membuka pintu komunikasi dengan partai politik manapun.“Mbak Puan saya rasa selama ini memang yang banyak melakukan komunikasi politik dengan berbagai pihak. PSI sangat menghormati Mbak Puan Maharani. InsyaAllah kami yang akan datang ke PDIP,” kata Giring melansir suara.com (jaringan BantenNews.co.id), Sabtu (5/8/2023).Menurut Giring, sudah lama PSI ingin menjalin komunikasi dengan PDIP, terlebih juga sudah menyatakan dukungan ke Ganjar Pranowo.Ia pun meminta izin kepada Puan agar diizinkan untuk mendatangi Kantor DPP PDIP untuk menjalin silaturami tersebut. PSI disebutnya akan berdiskusi hingga menimba pengalaman jika bertemu dengan PDIP.“Dari dulu kami sangat ingin bersilaturahim dengan semua partai. Apa pun, Bila diizinkan, kami akan datang ke kantor DPP PDIP. Bila dibolehkan kami akan berdiskusi dan belajar dan menimba pengalaman. Salam hormat saya buat Bu Mega,” tuturnya.Selalu Buka PintuKetua DPP PDI Perjuangan (PDIP), Puan Maharani menegaskan, bahwa pihakmya selalu membuka pintu untuk melalukan komunikasi dan silaturami dengan semua partai politik. Ia membantah jika PDIP terkesan tertutup jika ada partai politik ingin melakukan komunikasi.Hal itu disampaikan Puan usai disebut Partai Solidaritas Indonesia (PSI), PDIP tidak pernah memberikan respons terkait sikap politik PSI yang juga menyatakan dukungan ke Ganjar Pranowo sebelumnya.“Apa yang disampaikan tadi bahwa sepertinya PDI Perjuangan tidak membuka pintu, kemudian PDI Perjuangan tidak mau melakukan komunikasi, kan bisa dilihat bahwa saya selalu membuka pintu,” kata Puan di Kompleks Parlemen, Senayan, Jakarta, Jumat (4/8/2023).Selama ini, kata dia, PDIP terbuka melakukan komunikasi dengan parpol lain, ditunjukan dengan dirinya berkeliling safari bertemu Plt Ketum PPP Mardiono, Ketum DPP PKB Muhaimin Iskandar dan Ketum DPP Partai Golkar Airlangga Hartarto.Ia menegaskan, kunjungan yang dilakukannya tersebut dengan catatan ada pihak yang menyampaikan undangan.“Saya yang kemudian hadir dan datang ke silaturahmi ke partai-partai yang lain. Kalau, kalau partainya itu kemudian memang mengundang dan mengharapkan kami untuk hadir,” tuturnya.“Saya kan enggak bisa juga ujug-ujug (tiba-tiba) datang, tapi kemudian enggak ada prolog yang ingin disampaikan bahwa menginginkan pertemuan atau menginginkan kehadiran,” sambungnya.Ia menegaskan, pertemuan atau silaturami antar sesama partai politik bisa terjadi jika kedua pihak sama-sama menginginkan adanya pertemuan.“Karena PDI Perjuangan intinya adalah selalu membuka pintu, siap melakukan komunikasi, dan silaturahmi,” pungkasnya.(Red)",Politik
Polisi Ciduk Pemilik Salon Kecantikan di Serang,"SERANG– Subdit I Indagsi Ditreskrimsus Polda Banten, mengungkap praktik tenaga kesehatan ilegal, Selasa (22/08/23). Modusnya adalah salon kecantikan.Kasubdit I Indagsi Ditreskrimsus Polda Banten AKBP Dony menjelaskan kasus ini bermula pada Juli 2023. Polisi mengendus adanya praktik salon kecantikan di wilayah Kecamatan Ciruas, Kabupaten Serang, Provinsi Banten diduga ilegal.Dari hasil penyelidikan Unit Subdit I, polisi menemukan terduga pelaku berinisial ISR (35), warga Kota Serang, yang menjalankan praktik salon menerbitkan sertifikat pelatihan dan praktik tenaga kesehatan.“Itu modusnya, namun tidak sesuai dengan ketentuan dan tidak memiliki sertifikat resmi dari instansi berwenang,” ucap Dony.Kemudian polisi melakukan pengembangan dan pemeriksaan para saksi, barang bukti dan terduga pelaku. “Hasil pemeriksaan penyidikan kami memenuhi unsur tindak pidana. Usaha ini sudah berjalan sekitar 3 tahun, selain jasa salon juga ada pembuatan sertifikat pelatihan dan praktik tenaga kesehatan.”Berkas perkara tersebut telah dinyatakan lengkap alias P21 dan tahap 2. “Kami masih kembangkan apabila ada pihak lain yang turut serta atau melakukan perbuatan serupa,” kata Kasubdit.Akibat aksinya, tersangka ISR (35) diduga melanggar Undang-Undang No. 20 Tahun 2004 dan/atau Undang-Undang No. 29 Tahun 2004 tentang Praktik Kedokteran dan/atau Undang-Undang No. 36 Tahun 2014 tentang Tenaga Kesehatan.(you/red)",hukum
Komnas Anak Dorong Restorative Justice Pelaku Tawuran Antarpelajar di KP3B,"SERANG– Pascakejadian tawuran antar pelajar yang melibatkan siswa dari tiga sekolah di Provinsi Banten yang terjadi di Kawasan Pusat Pemerintahan Provinsi Banten (KP3B), Komnas Perlindungan Anak Provinsi Banten merespon kejadian tersebut dan berharap kejadian serupa tidak kembali berulang dan terjadi kembali.Ketua Komnas Perlindungan Anak Provinsi Banten, Hendry Gunawan yang turut melakukan pendampingan terhadap anak-anak yang terlibat tawuran tersebut, mendorong proses hukum yang dilakukan dengan mengedapankan upayarestorative justiceyang tetap memberikan efek jera dan rasa tanggung jawab bagi anak-anak yang terlibat dalam kejadian tersebut.“Hasil pendampingan dan diskusi dengan Kapolresta dan juga Kasat Reskrim, anak-anak yang terlibat tawuran saat ini sudah dipindahkan ke ruangan tahanan yang terpisah dengan orang dewasa, dan karena saat ini mereka masih berstatus sebagai pelajar, hak Pendidikan mereka tetap diutamakan,” kata Hendry, Senin (12/6/2023).Dalam proses pendampingannya komnas anak akan terus berupaya mendorong dan mendampingi hingga anak-anak mendapatkan putusan yang terbaik untuk masa depan mereka.Hendry berharap peran pengawasan orang tua perlu diperkuat, karena dari fakta yang ditemukan di lapangan, anak-anak yang terlibat dalam kejadian tawuran tersebut berinisiatif membeli senjata tajam melalui situs jual beli online.Dalam penjelasannya, Hendry menuturkan dalam mengendalikan tindak kejahatan yang dilakukan oleh anak dibawah umur membutuhkan teknik dan strategi khusus dalam penanganannya dengan berlandaskan Peraturan Undang-Undang No. 11 Tahun 2012 tentang Sistem Peradilan Pidana Anak (SPPA).Penerapan Undang-undang SPPA ini merupakan salah satu bentuk kepedulian negara terhadap masyarakat khususnya para pelaku tindak pidana di bawah umur. Penetapan pidana terhadap anak-anak ini harus lebih mengedepankanrestorative justice,rasa keinginan untuk bertanggung jawab, sadar akan kesalahan yang telah diperbuat, dan berjanji tidak akan mengulanginya kembali.Selain itu, Hendry juga menjelaskan bahwa penyelesaian masalah tawuran remaja tak hanya jadi ranah aparat yang bertugas mencegah dan mengamankan pelaku tawuran, tapi juga pemerintah setempat.Perlu keterlibatan pemangku kebijakan dalam merespon kejadian yang melibatkan anak-anak saat ini. Selain itu, aksi tawuran ini sudah bisa dikategorikan sebagai bencana sosial karena berawal dari konflik, yang menyebabkan anak-anak terluka. Dan tentu saja penanganan bencana sosial diperlukan pendekatan yang berkelanjutan dan keterlibatan seluruh pihak yang punya keinginan yang sama agar kejadian serupa tidak selalu berulang di masa depan.Pemerintah daerah tentu harus mulai mengidentifikasi wilayah, sekolah, dan kelompok remaja mana yang sering tawuran, dengan memberikan dorongan pembinaan melalui program pembinaan mental maupun kegiatan positif lainnya sehingga anak-anak memiliki alternatif cara untuk menunjukkan eksistensi diri. Semisal turut melibatkan anak-anak melalui kegiatan karang taruna atau bergabung dalam forum anak yang ada di masing-masing daerah. Karena karang taruna ada banyak kegiatan yang menguntungkan para remaja, tentu dengan dikelola dengan baik. Di karang taruna mereka bisa mendapat banyak ketrampilan, termasuk usaha. Dan juga dalam forum anak, bisa dibangun jiwa kepemimpinan dan rasa tanggungjawab di dalam diri anak. (Red)",hukum
"Kunjungi Markas PPP Banten, Begini Arahan Sandiaga Uno untuk Pemilu 2024","SERANG– Ketua Bappilu Nasional PPP, Sandiaga Uno mengunjungi markas DPW PPP Banten di Ciracas Kota Serang pada Sabtu (19/8/2023). Ia memberikan apresiasi kepada Pak Ketua DPW PPP Subadri Ushuluddin yang telah berjuang di Banten yang merupakan salah satu tantangan karena banyak permasalahan ekonomi terutama pengangguran dan berbatasan dengan DKI.“Para kader memberikan masukan dan pertanyaan untuk meningkatkan perolehan suara serta kursi tambahan baik di kabupaten/kota maupun provinsi serta DPR RI. Target 11 juta suara dan 45 kursi di DPR RI beserta 45 kabupaten/kota, 12 provinsi dan 3 DPR RI di Banten menjadi harapan,” ujarnya.Sandiaga akan all out dalam strateginya sebagai Bappilu nasional untuk mempertahankan marwah ketua umum sebagai kader terbaik dari PPP Banten.Fokusnya adalah pada bidang ekonomi dengan tagline harga murah kerja mudah hidup berkah agar diterima oleh masyarakat terutama kalangan muda dan perempuan seiring basis pondok pesantren para kiai, para ulama selama ini membesarkan PPP.Saat ditanya terkait sudah ada komunikasi dengan PDIP soal cawapres. Ia mengatakan belum ada pembicaraan soal cawapres dengan PDIP namun dilakukan oleh level ketua umum.“Kita fokus merajut kebersamaan istiqomah dalam perjuangan tanpa statement negatif atau pertikaian agar pimpinan partai politik dapat membuat keputusan yang terbaik untuk PPP.Menurutnya pembicaraan bacawapres sudah dimulai secara persahabatan bersifat membantu bagi kelangsungan hidup partai politik nomor 9 dari sembilan parlemen Indonesia. Fokus kita adalah menawarkan pemikiran tentang ekonomi Indonesia yang lebih baik dengan fokus pada pemuda dan kaum perempuan.“Fokus saat ini adalah pemenangan Bappilu tanpa harus meminta-minta jabatan atau mengancam siapa pun sehingga menjauhkan diri dari segala bentuk statement negatif. Kita tugasnya adalah mencoba menangkan hati pikiran rakyat yakin bahwa pimpinan nanti akan mengambil keputusan yang terbaik untuk kelangsungan hidup partai politik ini,” ujarnya. (Dhe/Red)",Politik
"Target 15 Kursi, PKB Banten Bidik Santri Milenial","SERANG– Dewan Pimpinan Wilayah (DPW) Partai Kebangkitan Bangsa (PKB) Banten menargetkan raihan 15 kursi di DPRD Banten pada Pemilu 2024 mendatang. Untuk itu, partai pimpinan Muhaimin Iskandar itu membidik suara dari kalangan santri milenial.Ketua DPW PKB Banten, Ahmad Fauzi mengatakan, pihaknya hingga kini terus melakukan konsolidasi untuk meraih target 15 kursi.“Di Banten kan banyak ponpes (pondok pesantren, red) apalagi kita banyak teman-teman kiyai. Dan ada santri milenial juga. Dan kita terus melakukan konsolidasi untuk itu,” kata Fauzi usai mendaftarkan bakal calon (balon) anggota DPRD Banten di Kantor KPU Banten, Cipocok Jaya, Kota Serang, Provinsi Banten, Sabtu (13/5/2023).Dengan membidik suara santri milenial, lanjut Fauzi, pihaknya optimis target 15 kursi dapat diraih pada Pemilu 2024 mendatang.“Dari 12 dapil (daerah pemilihan, red) sudah kita hitung baik dari struktur dan modal kita petakan. Dan dari semuanya insya Allah optimis 15 kursi. Kita upayakan betul dari hubungan dengan kultur dan lainnya,” katanya.Saat ditanya berapa calon yang didaftarkan ke KPU Banten, Fauzi mengungkapkan, pihaknya mendaftarkan 100 calon sesuai dengan jumlah kursi di DPRD Banten.“Termasuk semua petahana juga daftar,” ungkap anggota DPRD Banten periode 2019-2024 itu.Meski begitu, dirinya mengaku tidak mencalonkan diri sebagai balon anggota DPRD Banten. Fauzi beralasan, jika DPP PKB mengintruksikan untuk mendaftar sebagai Bacaleg DPR RI.“Saya maunya sih di provinsi, tapi DPP minta saya ke RI. Yah namanya prajurit harus ikut apa kata pimpinan,” ujarnya.Berdasarkan pantauan, sebelum memasuki rombongan DPW PKB Banten melakukan long march dengan membacakan solaway nakriyah. Dan yang membuat unik, rombongan memakai sarung sebagai bentuk identitas PKB sebagai partai Nahdlatul Ulama (NU). (Mir/Red)",Politik
Bawaslu Tangsel Sebut Satu Bacaleg  Positif Narkoba,"TANGSEL– Badan Pengawas Pemilihan Umum (Bawaslu) Kota Tangerang Selatan (Tangsel) menyebut terdapat satu Bakal Calon Legislatif (Bacaleg) positif narkoba.Ketua Bawaslu Tangsel Muhamad Acep mengungkapkan, bacaleg tersebut merupakan perempuan yang terdaftar di dua partai.“Ini juga aneh kan (terdaftar di dua partai). Jadi hasil tesnya pun berbeda-beda dari partai. Coba cek ke KPU,” ujar Acep, Senin (3/7/2023).Acep melanjutkan, dirinya meminta keseriusan pihak KPU untuk memverifikasi ulang bacaleg yang merupakan pendatang baru tersebut.“Batas akhirnya tanggal 9 Juli 2023. Kami meminta keseriusan dari KPU untuk memverifikasi ulang Bacaleg yang positif narkoba tersebut,” pungkasnya.Sementara saat dikonfirmasi, pihak KPU Kota Tangsel masih belum menjawab awak media. (Ihy/Red)",Politik
"Semarak Peringatan HUT RI ke-77, Warga Puri Anggrek Antusias Ikuti Jalan...","SERANG– Masih dalam rangkaian peringatan Hari Ulang Tahun (HUT) Republik Indonesia (RI) ke-77, warga Puri Anggrek Serang di RT 008 RW 008, Kelurahan Teritih, Kecamatan Walantaka, Kota Serang menggelar lomba jalan sehat.Ratusan warga terlihat antusias mengikuti kegiatan tersebut. Dengan mengenakan kaos merah dan training putih para ibu-ibu tampak bersemangat mengikuti kegiatan jalan sehat. Peserta berjalan dari titik awal di Lapangan Voli RT 008 dengan rute jalan Palapa, menuju jalan utama Puri Anggrek Serang dan kembali ke lapangan voli.Ketua RT 008 Iwan Setiawan menyebutkan kegiatan sebagai upaya memperingati jasa para pahlawan sekaligus menjalin ikatan kekeluargaan antar warga. “Alhamdulillah kegiatan gerak jalan santai ini dapat terlaksana. Ini memang sudah jauh-jauh jari direncanakan,” kata Iwan dalam sambutannya, Minggu (21/8/2022).Dalam kesempatan yang sama, Iwan juga menyampaikan ucapan terima kasih kepada donatur yang telah mendukung suksesnya acara. “Tak lupa bagi seluruh warga Puri Anggrek, khususnya di RT 008 dan para pengurus yang sudah membantu menyelenggarakan kegiatan ini. Semoga bermanfaat,” ujar Iwan.Usai jalan sehat, warga mengikuti pembagian doorprize. Panitia menyediakan berbagai macam hadiah untuk para pemegang kartu peserta.(You/Red)",Sport
