Judul,Isi,Kategori
"Grand Final AXIS Nation Cup 2023, 10 Tim Futsal SMA/SMK Terbaik...","SERANG–  Turnamen futsal terbesar antar-SMA se-Indonesia, AXIS Nation Cup 2023 akan memasuki babak grand final. Sebanyak 10 tim telah berhasil masuk babak puncak turnamen dan siap memperebutkan total hadiah Rp 435 juta. Acara grand final ini akan berlangsung pada tanggal 15 Oktober 2023 di Istora Senayan, Jakarta yang dimeriahkan music performance oleh JKT48 dan Diskoria serta pertandingan Fun Match dari para influencer antara tim Shafira Ika Putri (Tim Nasional) dan Aganta VS tim Vonny Felicia dan Ciccio Manassero (Aktor).Chief Marketing Officer XL Axiata, Alfons Bosch Sansa mengatakan setelah sebulan lebih AXIS Nation Cup dilaksanakan di berbagai kota di Indonesia, akhirnya sampai juga di acara puncak.“Kami melihat antusiasme baik dari peserta maupun juga seluruh pengunjung sangat tinggi terhadap program ini. Ini menjadi pembuktian bagi kami, bahwa melalui program ini kami bisa berperan serta untuk mengembangkan potensi-potensi dari siswa untuk jadi yang terbaik. Harapan kami melalui AXIS Nation Cup ini bisa lahir bibit-bibit baru atlet futsal yang akan bisa turut mengharumkan nama Indonesia,” ujarnya, Kamis (5/10/2023).Berikut ini 10 tim yang akan berlaga di grand finalis:Region Jabodetabek dan Banten: SMAN 8 Serang, SMKN 3 Bekasi, SMAN 1 Parung – Kab Bogor, SMK Nusantara – Jakarta Barat, dan SMK PGRI 11 Ciledug – Tangerang SelatanRegional West: SMAN 4 Metro LampungRegion Central: SMAN 11 SemarangRegion East: SMAN 1 MasbagikRegion Kalimantan: SMKN 1 BalikpapanRegion Sulawesi: SMAN 8 MakassarKhusus untuk region Jabodetabek dan Banten, sebagai tuan rumah Grand Final AXIS Nation Cup 2023, mendapatkan hak istimewa (privilege) untuk mengirimkan finalist tim futsal terbaik setiap kotanya, total 5 tim futsal sekolah terbaik.Menjelang babak grand final, ke 10 tim tersebut akan mengikuti serangkaian aktivitas, antara lain persiapan field test di Istora Senayan, mendapatkan coaching clinic untuk memupuk solidaritas antar tim, hingga menghadiri gala dinner. Dalam persiapan ini seluruh atlet akan dibuatkan video profil untuk masing-masing tim dan akan di dokumentasikan selama mengikuti masa persiapan.Melibatkan lebih dari 1.200 sekolah dengan lebih dari 12 ribu atlet dari 30 kota di seluruh Indonesia, ajang AXIS Nation Cup 2023 juga mendapatkan perhatian luas dari masyarakat, terutama kalangan muda. Lebih dari 100 ribu pengunjung menyaksikan di sepanjang babak preliminary di enam region yang berlangsung di Serang, Tangerang, Bogor, Bekasi, Jakarta, Bandung, Cirebon, Yogyakarta, Purwokerto, Semarang, Solo, Denpasar, Surabaya, Malang, Mataram, Aceh, Medan, Palembang, Padang, Jambi, Pekanbaru, Lampung, Pontianak, Balikpapan, Samarinda, Banjarmasin, Manado, Gorontalo, Palu dan Makassar.Grand Final AXIS Nation Cup 2023 terbuka secara gratis untuk masyarakat umum yang ingin menyaksikan. Bahkan penonton juga dapat menghadiri berbagai booth dengan beragam keseruan, seperti kompetisi e-Sport tempat mengadu kemampuan bermain olahraga secara daring di E-Sport Tent, hingga menikmati makanan sebelum memasuki area indoor.Selain itu, pengunjung dapat menjelajahi experience booth AXIS dengan berbagai fiturnya, dari mulai charging station,  dan mencoba keberuntungan mereka di permainan foosball atau arcade kick ball, dengan kesempatan untuk membawa pulang jersey AXIS dan hadiah menarik lainnya. Untuk informasi tiket dapat diperoleh melalui anc.axis.co.idAcara grand final ini juga akan dipandu secara live oleh pelatih futsal ternama “Donzol” dan  stand up comedian “Lolox” sebagai komentator. Penonton dan pendukung yang hadir juga berkesempatan memenangkan beragam hadiah menarik dari AXIS.(Red)",Sport
Pengidap HIV Cabuli Bocah Anak Tetangga di Pandeglang,"PANDEGLANG– Satuan Reserse Kriminal (Satreskrim) Polres Pandeglang mengaku saat ini pihaknya masih melengkapi berkas kasus tersangka MY (35) seorang duda yang tega mencabuli anak tetangganya yang masih dibawah umur. Tersangka yang mengidap penyakit HIV saat ini masih menjalani kurungan di Mapolres Pandeglang.KBO Satreskrim Polres Pandeglang, Ipda Beni Sukirman mengatakan, sesuai petunjuk jaksa maka pihaknya masih harus melengkapi beberapa berkas agar kasus tersebut segera bisa di P21-kan dan dilimpahkan ke Kejaksaan Pandeglang.“Masih belum tahap dua, ini masih proses sidik memenuhi P19 atau memenuhi kekurangan petunjuk jaksa intinya. Masih ditahan di Polres Pandeglang karena belum P21 dan sakit HIV, akhirnya menunggu P21,” kata Beni saat dihubungi Bantennews.co.id melalui sambungan telepon, Jumat (3/11/2023).Selain masih ada beberapa berkas belum lengkap, saat ini tersangka juga masih diberikan perawatan medis untuk penyakit yang dideritanya. “Masih (menjalani) perawatan,” ucapnya.Baca juga:Komnas Anak Banten: Oknum Kepala Sekolah Terduga Pelaku Pencabulan Harus Diganjar Hukuman MaksimalDiberitakan sebelumnya, seorang pria berstatus duda berinisial MY (35) warga Kecamatan Kaduhejo, Kabupaten Pandeglang diduga mencabuli anak dibawah umur. Tersangka ditangkap setelah orang tua pelaku melakukan tindakan asusila yang menimpa anaknya ke polisi.Saat melakukan aksinya, tersangka menggunakan modus memberikan jajanan gratis pada para korban. Setelah korban diberikan jajanan selanjutnya tersangka membawa para korban ke rumahnya untuk memaksa melakukan oral seks.Hasil pemeriksaan kesehatan yang dilakukan polisi akhirnya terungkap fakta bahwa tersangka mengidap penyakit HIV. Untuk mengindari tahanan lain tertular penyakit yang sama, polisi terpaksa memisahkan ruang tahan tersangka dengan tahan lain.(Med/Red)",hukum
Yudi Budi Wibowo Serap Aspirasi Masyarakat Tangerang Selatan,"TANGSEL– Anggota DPRD Provinsi Banten, Yudi Budi Wibowo melaksanakan reses masa sidang ke-1 tahun sidang 2023/2024 di daerah pemilihnya, Kota Tangerang Selatan (Tangsel)Dalam resesnya, Yudi Budi Wibowo menerima beragam usulan dari masyarakat, antara lain infrastruktur jalan, drainase, Penerima Peserta Didik Baru (PPDB), dan lowongan kerja.Yudi mengatakan, masyarakat menginginkan perbaikan peningkatan jalan dan sistem drainase untuk mengatasi masalah banjir dan memperbaiki aksesibilitas.“Jika tidak diperbaiki khawatir memasuki musim penghujan ini akan terjadi banjir di lingkungan masyarakat,” katanya, Selasa (14/11/2023).Masyarakat juga menginginkan Pemerintah Provinsi Banten memberikan perhatian khusus pada permasalahan PPDB.“Masyarakat menyampaikan kendala yang dihadapi masyarakat dalam mengakses pendidikan. Terhadap hal ini tentu kami berkomitmen untuk mendorong perbaikan sistem PPDB guna memastikan akses pendidikan yang lebih adil,” ujarnya.Selain itu, kata Yudi, masyarakat berharap akses terhadap lapangan kerja diperluas. Hal ini dilakukan untuk mengatasi pengangguran.“Berdasarkan aspirasi masyarakat maka saya mengusulkan langkah kongkret untuk mengatasi persoalan pengangguran,” ujarnya.Ketua Bapemperda DPRD Banten ini berharap hasil reses dapat menjadi pijakan pembangunan yang lebih efektif di Provinsi Banten. “Sehingga pembangunan yang dilaksanakan Pemerintah Provinsi Banten khususnya di Kota Tangerang Selatan sesuai dengan kebutuhan masyarakat,” ucapnya.(Red)",Politik
22 Club Bersaing Kerjurda Bola Voli Provinsi Banten,"TANGERANG– Kota Tangerang dipercaya menjadi tuan rumah kejuaraan olahraga. Kali ini, menjadi tuan rumah Kejuaraan Daerah (Kejurda) Bola Voli Indoor tingkat Provinsi Banten, yang diikuti 22 club yakni 13 club putra dan sembilan club putri, kategori U-17, yang berlangsung di GOR Jatiuwung, Kota Tangerang, Sabtu (14/10/2023).Event yang digelar untuk merebutkan tiket Kejuaraan Nasional (Kejurnas) ini dibuka, Kepala Dispora, Kota Tangerang, Kaonang beserta jajaran, dan akan berlangsung hingga Minggu (15/10/2023).Penitia Penyelenggara, Suyono mengungkapkan perhelatan ini didebut untuk mencari tim terbaik dari Provinsi Banten, guna diikutsertakan dalam Kejurnas Bola Voli Antar Club U-17, pada 19-26 November mendatang.“Kejurnas nanti akan digelar di Kota Tangerang. Dengan itu, pertandingan ini akan berlangsung sangat serius, untuk menyaring mereka para atlet terbaik Provinsi Banten untuk maju tingkat Nasional,” katanya.Sementara itu, Kepala Dispora, Kota Tangerang, Kaonang menegaskan event ini adalah ajang bergengsi yang harus diikuti para atlet dengan serius. “Dengan itu, para atlet harus bermain dengan cantik, bermain indah dan tunjukkan kemampuan dan skill terbaiknya di cabang voli ini,” seru Kaonang.“Terpenting, dalam event ini seluruh pihak, yaitu atlet, panitia, atau pengurus untuk sama-sama menjunjung sportivitas selama pertandingan. Dari Kejurda ini diharapkan muncul atlet-atlet terbaik tingkat Nasional, kalau bisa mereka itu dari Kota Tangerang,” tambahnya.Masih dilokasi yang sama, salah seorang atlet, Club Optima, Benita Shela Dewi menuturkan sembilan club putri yang mengikuti ajang ini bukanlah club kecil yang bisa dianggap remeh.“Sangat terlihat profesionalitas para club dan atlet, semua datang kesini untuk memberikan yang terbaik untuk dirinya dan clubnya. Disamping itu, saya pribadi apresiasi dengan Kota Tangerang, dengan segala fasilitas dan sarana yang dimiliki. Semoga terus lahir atlet terbaik dari sarana olahraga Kota Tangerang,” tutup Benita.(Ril/Red)",Sport
"Sudah Final dan Mengikat, Aturan Main Pilpres 2024 Tak Bisa Diubah...","SERANG– Ketua Majelis Kehormatan Mahkamah Konstitusi (MKMK), Jimly Asshiddiqie menegaskan aturan main Pilpres 2024 tidak bisa diubah lagi setelah Mahkamah Konstitusi memutus perkara nomor 90/PUU-XXI/2023.Dengan begitu, dia mengatakan MKMK tidak memiliki wewenang untuk mengubah atau menganulir putusan tentang batas usia minimal calon presiden dan calon wakil presiden tersebut.“Diatur di konstitusi demikian dan juga di undang undang sebagaimana sudah dipraktikkan, bahkan sudah beberapa kali ada putusan MK soal mengikatnya, itu sudah menjadi doktrin. Putusan Mahkamah Konstitusi bersifat final dan mengikat,” kata Jimly di Gedung MK, Jakarta Pusat, Selasa (7/11/2023).Menurut dia, pengambilan keputusan MK yang melanggar aturan merupakan persoalan lain tetapi putusan MK tetap bersifat final dan mengikat.Mengenai gugatan yang dilayangkan mahasiswa Universitas Nahdlatul Ulama terhadap pasal 169 huruf q UU 7 tahun 2017 tentang pemilu, Jimly menilai jika dikabulkan, aturannya akan berlaku pada Pemilu 2029.“Putusan aturan main itu, kalau prosesnya sudah dimulai, ya dijalankan. Jadi, kalau nanti ada perubahan lagi UU sebagaimana diajukan oleh mahasiswa itu, berlakunya nanti di 2029,” tegas Jimly.Diberitakan sebelumnya, MKMK menegaskan tidak mempertimbangkan untuk mengubah atau membatalkan putusan Mahkamah Konstitusi (MK) nomor 90/PUU-XXI/2023 tentang batas usia minimal calon presiden dan calon wakil presiden.“Majelis Kehormatan berpendirian untuk menolak atau sekurang-kurangnya tidak mempertimbangkan isu dalam laporan dugaan pelanggaran kode etik dan perilaku hakim konstitusi sepanjang berkaitan dengan permintaan pelapor untuk melakukan penilaian antara lain berupa pembatalan, koreksi, atau meninjau kembali terhadap putusan Mahkamah Konstitusi konstitusi in casu putusan Mahkamah Konstitusi nomor 90/PUU-XXI/2023,” kata Anggota MKMK Wahiduddin Adams di ruang Sidang MK, Jakarta Pusat, Selasa (7/11).“Termasuk juga dalam hal ini, Majelis Kehormatan tidak akan masuk melakukan penilaian terhadap aspek teknis yudisial Mahkamah Konstitusi in casu hakim konstitusi yang merupakan perwujudan pelaksanaan prinsip kemerdekaan hakim konstitusi sebagai sembilan pilar konstitusi dan kemerdekaan kekuasaan kehakiman sebagai kelembagaan,” tambah dia.Sebelumnya, MK memperbolehkan orang yang berusia di bawah 40 tahun menjadi capres atau cawapres jika pernah atau sedang menjabat sebagai kepala daerah melalui pilkada.“Mengadili, satu, mengabulkan permohonan pemohon untuk sebagian. Menyatakan Pasal 169 huruf q UU 7/2017 tentang Pemilu nomor 182 tambahan lembaran negara nomor 6109 yang menyatakan berusia paling rendah 40 tahun bertentangan UUD RI 1945 dan tidak mempunyai kekuatan hukum mengikat sepanjang tidak dimaknai berusia paling rendah 40 tahun atau pernah/sedang memiliki jabatan yang dipilih melalui Pemilu termasuk pemilihan kepala daerah,” kata Ketua MK Anwar Usman, Senin (16/10/2023).Salah satu pertimbangan hakim Konstitusi menerima permohonan tersebut ialah karena banyak anak muda yang juga ditunjuk sebagai pemimpin.Putusan tersebut mendapatkan banyak reaksi masyarakat lantaran dianggap membuka jalan bagi keponakan Anwar, yaitu Gibran Rakabuming Raka untuk menjadi cawapres.Adapun mahasiswa asal Surakarta, Almas Tsaibbirru Re A selaku pemohon dalam perkara itu juga memiliki pandangan tokoh ideal sebagai pemimpin bangsa Indonesia yakni mengidolakan Wali Kota Surakarta Gibran Rakabuming Raka periode 2020-2025.Sebab, dia menilai pada masa pemerintahannya, Gibran mampu meningkatkan pertumbuhan ekonomi di Surakarta sebanyak 6,23 persen padahal pada saat awal menjabat sebagai Wali Kota Surakarta pertumbuhan ekonomi Surakarta justru sedang minus 1,74 persen.Terlebih, pemohon menganggap Wali Kota Surakarta sudah memiliki pengalaman membangun dan memajukan Kota Surakarta dengan kejujuran, integritas moral dan taat serta patuh mengabdi kepada kepentingan rakyat dan negara.(Red)",Politik
"Korupsi Rp988 Juta, Mantan Kades Lontar Dituntut 6 Tahun Bui","SERANG– Mantan Kepala Desa Lontar, Kecamatan Tirtayasa, Kabupaten Serang Aklani dituntut 6 tahun penjara atas kasus korupsi dana desa sebesar Rp988 Juta. Duit itu digunakan Aklani untuk hiburan malam dan sawer biduan bersama beberapa staff desanya hampir setiap hari.Tuntutan dibacakan Jaksa Penuntut Umum (JPU) Kejati Serang di Pengadilan Negeri Serang pada sidang yang dipimpin ketua majelis Hakim Dedy Ady Saputra. “Menuntut terdakwa Aklani dengan pidana penjara selama 6 tahun,” kata JPU Subadri.Selain tuntutan pidana kurungan badan, terdakwa juga dituntut membayar denda sebesar Rp250 juta subsidair 3 bulan penjara.Terdakwa juga dibebankan uang pengganti sebesar Rp792 Juta karena dari total kerugian negara dirinya telah mengembalikan uang kepada negara sebesar Rp198 juta. Jika tidak dapat mengganti uang tersebut maka harta benda terdakwa disita dan apabila tidak mencukupi maka diganti 3 tahun 3 bulan kurungan penjara.JPU menilai perbuatan terdakwa secara sah dan meyakinkan melanggar pasal 2 Undang-undang Tipikor seperti dalam dakwaan primair.Unsur korupsi terbukti karena dalam fakta persidangan dirinya mengakui bahwa dana desa untuk kegiatan fisik serta bantuan dana Covid dari Provinsi tidak dipergunakan sebagaimana seharusnya.Mengenai hal yang memberatkan yaitu terdakwa tidak mendukung program pemerintah mengenai pemberantasan korupsi serta mengakibatkan kerugian negara sebesar Rp988 Juta.Adapun hal meringankan yaitu terdakwa telah mengembalikan sebagian kerugian negara tersebut “Terdakwa telah mengembalikan dana sebesar Rp198 Juta,” kata JPU Subadri.(Dra/red)",hukum
"Hadapi Panama, Pelatih Minta Pemain Timnas Indonesia U-17 Kompak","JAKARTA– Pemain Timnas Indonesia U-17 Welber Jardim mengatakan bahwa pelatih Bima Sakti meminta tim untuk tetap kompak dalam bertanding, terlebih saat menghadapi Panama U-17 di laga kedua grup A Piala Dunia U-17 2023.“Pelatih meminta kami semua untuk kompak. Saat kami menyerang harus bersama-sama saling bantu, komunikasi juga harus bagus dalam tim,” ujarnya saat berlatih bersama tim di Lapangan A kompleks Stadion GBT Surabaya, Minggu (13/11/2023) seperti dikutip dari Antara.Menurut pemain asal klub Brasil Sao Paulo FC tersebut, kunci dari kemenangan ialah kekompakan tim yang memang sudah dipesankan pelatih kepada dirinya dan rekan-rekannya.“Besok (hari ini-red) akan menjadi pertandingan yang sulit, kami harus konsentrasi. Kami harus berikan semuanya. Komunikasi juga harus bagus saat masuk lapangan dan kami bisa menang,” ujarnya.Oleh karena itu, dirinya bersama tim akan selalu berlatih dengan keras dan bermain lebih bagus saat melawan Panama U-17, yang akan berlangsung di Stadion Gelora Bung Tomo Surabaya, 13 November 2023.“Kami latihan dengan keras agar besok bisa bermain dengan lebih bagus, supaya tidak capek dan tidak kram,” tuturnya.Pesepak bola kelahiran 25 April 2007 itu menilai, bahwa Panama merupakan tim yang bagus dan memiliki kualitas pemain yang baik pula.“Mereka (Panama) bagus dalam situasi satu lawan satu. Sekarang kami latihan untuk satu lawan satu supaya kami tidak kalah,” ujar Welber.Namun, lanjutnya, ada sisi yang bisa dimanfaatkan oleh para penggawa Garuda Muda. “Mereka bermain secara terbuka sekali dan kami harus coba memanfaatkan itu,” katanya.Tak hanya itu, dirinya juga siap dan akan mengikuti instruksi pelatih meskipun harus berganti posisi, agar dapat membantu negaranya.“Seperti yang sudah saya bilang pada Coach Bima, mau taruh saya di posisi apa saya akan mau dan hanya ingin bermain untuk membantu Timnas Indonesia,” ujar Welber.Saat ini, pada klasemen sementara grup A Piala Dunia U-17, Indonesia berada di peringkat kedua dengan raihan satu poin setelah bermain imbang 1-1 melawan Ekuador.Selanjutnya, Timnas Indonesia akan menghadapi Panama dalam pertandingan kedua grup A Piala Dunia U-17 2023 di Stadion GBT Surabaya, pada Senin, 13 November 2023. (Red)",Sport
"Korupsi Rp 40 Miliar, Anggota Badan Pemeriksa Keuangan Achsanul Qosasi Ditahan","JAKARTA– Anggota III Badan Pemeriksa Keuangan (BPK) RI Achsanul Qosasi resmi ditetapkan tersangka oleh Kejaksaan Agung (Kejagung). Penetapan ini terkait dengan korupsi BTS 4G BAKTI Kementerian Komunikasi dan Informatika (Kominfo).Dirinya dianggap menerima uang Rp 40 miliar atas kasus korupsi tersebut.Terlepas dari hal itu, ternyata Achsanul Qosasi ini memiliki utang yang besar senilai Rp 4,83 miliar. Hal ini diketahui berdasarkan Laporan Harta Kekayaan Penyelenggara Negara (LHKPN).Sementara, total harta kekayaannya yang dimiliki oleh Pemilik Klub Madura United Rp 24,8 miliar. Rinciannya, harta kekayaan Achsanul berupa tanah dan bangunan yang sebesar Rp 21,8 miliar.Kemudian, dirinya tercatat memiliki tujuh mobil yang senilai Rp 1,4 miliar. Mobil yang dimiliki diantaranya Toyota Alphard Minibus (2011) Rp 500 juta, Toyota Camry Sedan (2011) Rp 200 juta, VW Sedan (1974) Rp 200 juta, dan Toyota Kijang Innova Minibus (2010) Rp 130 juta. Lalu, ada Mitsubishi Outlander Sport Minibus (2013) Rp 300 juta.Sebelumnya, Anggota III Badan Pemeriksa Keuangan (BPK) Achsanul Qosasi resmi ditetapkan sebagai tersangka di kasus dugaan korupsi BTS Kominfo. Pada Jumat (3/11/2023) Achsanul lebih dulu dipanggil Kejaksaan Agung untuk menjalani pemeriksaan.Achsanul Qosasi diperiksa Kejagung setelah dalam persidangan namanya disebut-sebut. Ia diperiksa terkait dugaan korupsi penerimaan uang senilai Rp 40 miliar yang diduga mengalir ke BPK.“Setelah dilakukan pemeriksaan intensif dan…. alat bikti maka tim, kesimpulan ada cukup alat bukti menetapkan yang bersangkutan (Achsanul Qosasi) sebagai tersangka,” ujar Dirdik Jam Pidsus Kejagung, Kuntadi kepada awak media termasuk Suara.com, Jumat.Achsanul Qosasi diperiksa Kejagung sejak pukul 8.00 WIB pagi tadi. Dia dipanggil setelah namanya disebut pada persidangan kasus korupsi BTS BTS 4G BAKTI Kominfo.“Sudah, sudah, dari jam 8-an kurang. Seharusnya jam 9,” kata Kepala Pusat Penerangan Hukum (Kapuspenkum) Kejaksaan Agung RI Ketut Sumedana.Dia pun membenarkan Achsanul akan diklarifikasi soal aliran dana korupsi BTS 4G.“Terkiat aliran dana itu yang sudah terungkap di persidangan, itu kita mau klarifikasi,” kata ketut. (Red)",hukum
Vonis Mantan Kabid Dinsos Terdakwa Korupsi Dana Bencana Diperberat Hakim,"SERANG– Mantan Kepala Bidang Perlindungan, Jaminan Sosial, Data dan Informasi Sosial pada Dinas Sosial Kabupaten Lebak, Endin Toharudin divonis lebih berat oleh hakim Pengadilan Tinggi (PT) Banten. Ia divonis 4 Tahun Penjara oleh majelis hakim PT.“Menjatuhkan pidana kepada Terdakwa oleh karena itu dengan pidana penjara selama 4 tahun, dan Pidana denda sejumlah Rp200 Juta dengan ketentuan apabila denda tersebut tidak dibayar, diganti dengan pidana kurungan selama 1 bulan,” bunyi putusan PT Banten Nomor 40/PID.Sus-TPK/2023/PT BTN dikutip Bantennews di lama resmi Mahkamah Agung, Sabtu (18/11/2023).Vonis putusan banding dibacakan pada Selasa (14/11/2023) lalu. bertindak sebagai ketua majelis hakim yaitu Supriyono serta hakim anggota Laurensius Sibarani dan Budi Satria.Hakim PT menilai dalam pertimbangannya bahwa di Pengadilan Negeri Serang hal memberatkan yang belum dipertimbangkan yaitu bahwa aspek kesalahan terdakwa masuk dalam kategori tinggi. Dari total Dana Bantuan Tidak Terencana (BTT) bagi korban bencana alam dan bencana sosial di Kabupaten Lebak pada 2021 sebesar Rp348 Juta, untuk 125 orang namun dirinya hanya menyalurkan kepada 12 penerima sebesar Rp44 Juta. Sedangkan Rp304 juta sisanya ia tilap untuk kepentingan pribadi.“Terdakwa sangat tega sekali tidak memberikan atau menyalurkan dana bencana alam dan bencana social sejumlah Rp.304 juta yang merupakan hak dari 113 warga masyarakat yang terdampak bencana alam dan bencana sosial di Kabupaten Lebak, bahkan dana tersebut dinikmati oleh Terdakwa sendiri,” bunyi putusanPutusan tersebut merupakan hasil banding dari Jaksa Penuntut Umum (JPU) Lebak yang merasa hukuman terdakwa terlalu ringan, hanya pidana kurungan badan yang diganti oleh hakim PT, untuk hal lainnya hakim PT menguatkan putusan PN Serang.Sebelumnya di Pengadilan Negeri Serang, Endin dinyatakan bersalah melanggar Pasal 3 Undang Undang Tipikor. Ia divonis oleh hakim PN Serang selama 3 tahun Penjara dan denda Rp50 Juta subsidair 1 bulan penjara serta diharuskan membayar uang pengganti sebesar Rp304 Juta kepada terdakwa. Jika dirinya tidak bisa mengganti uang tersebut maka harta bendanya akan disita dan jika harta bendanya tidak mencukupi maka diganti oleh kurungan bui selama 6 bulan.“Menjatuhkan pidana terhadap terdakwa Endin Toharudin berupa pidana penjara selama 3 tahun dan denda Rp50 Juta subsidair 1 bulan penjara” kata Ketua Majelis Hakum Dedy Ady Saputra di Pengadilan Negeri Serang pada Selasa (26/9/2023) lalu.Endin terbukti melakukan korupsi Dana Bantuan Tidak Terencana (BTT) bagi korban bencana alam dan bencana sosial di Kabupaten Lebak pada 2021 saat menjabat sebagai Kabid di Dinsos Lebak yang merugikan negara sebesar Rp308 Juta.Vonis di PN maupun tingkat banding PT sebetulnya lebih ringan dari tuntutan JPU Lebak. JPU sebelumnya menuntut 6 tahu penjara.(Dra/red)",hukum
"Dorong Pemilu Damai, Polres Serang Gandeng Ulama","KAB. SERANG– Dalam rangka menciptakan Pemilu 2024 yang aman dan damai, Polres Serang menggandeng seluruh ulama di Kabupaten Serang. Upaya ini termasuk langkah cooling system untuk mencegah polarisasi politik dalam pemilihan umum mendatang.Ketua MUI Kabupaten Serang Tb Ahmad Khudori Yusuf mengatakan Deklarasi Damai Pemilu 2024 digelar di salah satu hotel di Kota Serang, Banten pada Sabtu (11/10/2024) bersama seluruh para ketua dan pengurus.“Seluruh ketua dan pengurus MUI Kabupaten Serang di 29 kecamatan sepakat untuk menolak politik identitas dan adanya polarisasi yang dapat memecah belah umat,” ujarnya.Kapolres Serang melalui Kasat Intelkam Polres Serang AKP Tatang menyampaikan, walaupun Kabupaten Serang tidak dikategorikan sebagai wilayah yang sangat Rawan menurut IKP Bawaslu dan IPKP Polri, namun bukan berarti pelaksanaan Pemilu 2024 di wilayah ini tidak rawan.“Ada beberapa catatan kerawanan kerawanan yang perlu diantisipasi dengan melakukan koordinasi dan sinergitas seluruh komponen salah satunya dengan Alim Ulama yang ada di Kabupaten Serang, peran ulama sangat penting dalam menciptakan Pemilu yang aman dan damai,” kata Tatang.Polres Serang sangat mengapresiasi MUI Kabupaten Serang yang telah melakukan Deklarasi Damai Pemilu 2024 dan berharap melalui ulama dapat menciptakan cooling system pada pelaksanaan Pemilu 2024.(Red)",Politik
